Rank RbOfPG,Team,Conference,Games,Offensive Rebounds,Offensive Rebounds Per Game,Season
109,LMU CA,WCC ,30,371,12.4,2023-2024
110,UCF ,Big 12 ,29,358,12.3,2023-2024
111,Minnesota ,Big Ten ,36,444,12.3,2023-2024
112,Duke ,ACC ,34,419,12.3,2023-2024
112,FGCU ,ASUN ,34,419,12.3,2023-2024
112,SFA ,WAC ,34,419,12.3,2023-2024
115,Elon ,CAA ,32,393,12.3,2023-2024
116,Maine ,America East ,34,417,12.3,2023-2024
117,Eastern Ill. ,OVC ,33,404,12.2,2023-2024
118,New Orleans ,Southland ,30,366,12.2,2023-2024
119,Army West Point ,Patriot ,29,353,12.2,2023-2024
120,Pittsburgh ,ACC ,32,389,12.2,2023-2024
121,Rice ,AAC ,34,412,12.1,2023-2024
122,Southern California ,Pac-12 ,35,424,12.1,2023-2024
123,Akron ,MAC ,29,351,12.1,2023-2024
124,Coppin St. ,MEAC ,30,363,12.1,2023-2024
125,Tennessee Tech ,OVC ,31,375,12.1,2023-2024
126,Eastern Wash. ,Big Sky ,35,423,12.1,2023-2024
127,Eastern Mich. ,MAC ,29,350,12.1,2023-2024
128,San Francisco ,WCC ,30,362,12.1,2023-2024
129,Michigan ,Big Ten ,34,409,12,2023-2024
130,Longwood ,Big South ,30,360,12,2023-2024
131,Villanova ,Big East ,35,419,12,2023-2024
132,UIC ,MVC ,34,407,12,2023-2024
133,North Carolina ,ACC ,33,394,11.9,2023-2024
134,South Alabama ,Sun Belt ,32,381,11.9,2023-2024
135,North Dakota ,Summit League ,30,357,11.9,2023-2024
136,FDU ,NEC ,31,368,11.9,2023-2024
137,Stetson ,ASUN ,32,379,11.8,2023-2024
138,Florida A&M ,SWAC ,30,355,11.8,2023-2024
138,NJIT ,America East ,30,355,11.8,2023-2024
140,Boise St. ,Mountain West ,35,414,11.8,2023-2024
141,Chicago St. ,DI Independent ,27,319,11.8,2023-2024
142,Stony Brook ,CAA ,33,389,11.8,2023-2024
143,Georgetown ,Big East ,35,412,11.8,2023-2024
144,Florida ,SEC ,32,376,11.8,2023-2024
145,Northern Ariz. ,Big Sky ,35,411,11.7,2023-2024
146,Pepperdine ,WCC ,30,352,11.7,2023-2024
146,Southern Utah ,WAC ,30,352,11.7,2023-2024
148,Virginia Tech ,ACC ,33,387,11.7,2023-2024
149,Holy Cross ,Patriot ,34,398,11.7,2023-2024
150,Texas St. ,Sun Belt ,32,374,11.7,2023-2024
151,Fresno St. ,Mountain West ,33,385,11.7,2023-2024
152,Kentucky ,SEC ,32,373,11.7,2023-2024
152,Monmouth ,CAA ,32,373,11.7,2023-2024
154,Jacksonville St. ,CUSA ,29,338,11.7,2023-2024
155,Providence ,Big East ,34,396,11.6,2023-2024
155,Santa Clara ,WCC ,34,396,11.6,2023-2024
157,Colorado ,Pac-12 ,34,395,11.6,2023-2024
158,Harvard ,Ivy League ,28,325,11.6,2023-2024
159,North Texas ,AAC ,32,371,11.6,2023-2024
160,Charlotte ,AAC ,31,359,11.6,2023-2024
160,Delaware ,CAA ,31,359,11.6,2023-2024
162,Rutgers ,Big Ten ,32,370,11.6,2023-2024
163,Florida St. ,ACC ,34,392,11.5,2023-2024
164,Air Force ,Mountain West ,32,368,11.5,2023-2024
165,Grand Canyon ,WAC ,32,367,11.5,2023-2024
166,Western Ill. ,OVC ,30,344,11.5,2023-2024
167,ULM ,Sun Belt ,35,401,11.5,2023-2024
168,San Jose St. ,Mountain West ,31,355,11.5,2023-2024
169,Radford ,Big South ,33,377,11.4,2023-2024
170,Canisius ,MAAC ,31,354,11.4,2023-2024
171,Delaware St. ,MEAC ,28,319,11.4,2023-2024
172,Clemson ,ACC ,31,353,11.4,2023-2024
173,Texas Tech ,Big 12 ,33,374,11.3,2023-2024
173,UNLV ,Mountain West ,33,374,11.3,2023-2024
175,North Florida ,ASUN ,30,339,11.3,2023-2024
175,UNCW ,CAA ,30,339,11.3,2023-2024
177,Navy ,Patriot ,31,350,11.3,2023-2024
178,LIU ,NEC ,30,338,11.3,2023-2024
179,UC Riverside ,Big West ,32,360,11.3,2023-2024
180,Lipscomb ,ASUN ,30,337,11.2,2023-2024
181,Cal Poly ,Big West ,31,348,11.2,2023-2024
182,Gardner-Webb ,Big South ,30,336,11.2,2023-2024
183,Northern Colo. ,Big Sky ,31,346,11.2,2023-2024
184,Arkansas St. ,Sun Belt ,30,334,11.1,2023-2024
184,Fla. Atlantic ,AAC ,30,334,11.1,2023-2024
186,La Salle ,Atlantic 10 ,30,333,11.1,2023-2024
186,Northwestern St. ,Southland ,30,333,11.1,2023-2024
188,Arizona St. ,Pac-12 ,31,344,11.1,2023-2024
189,Portland ,WCC ,34,377,11.1,2023-2024
190,NC State ,ACC ,38,420,11.1,2023-2024
191,Penn ,Ivy League ,28,309,11,2023-2024
192,UAlbany ,America East ,32,353,11,2023-2024
193,Drexel ,CAA ,34,375,11,2023-2024
194,New Mexico St. ,CUSA ,31,341,11,2023-2024
194,UTEP ,CUSA ,31,341,11,2023-2024
194,Utah Valley ,WAC ,29,319,11,2023-2024
197,Fairfield ,MAAC ,33,362,11,2023-2024
198,Wofford ,SoCon ,30,328,10.9,2023-2024
199,Wagner ,NEC ,28,306,10.9,2023-2024
200,UT Arlington ,WAC ,33,360,10.9,2023-2024
201,Southeast Mo. St. ,OVC ,29,316,10.9,2023-2024
202,Brown ,Ivy League ,27,294,10.9,2023-2024
203,Toledo ,MAC ,34,370,10.9,2023-2024
204,Illinois ,Big Ten ,34,369,10.9,2023-2024
205,Iowa ,Big Ten ,39,423,10.8,2023-2024
206,Jacksonville ,ASUN ,31,336,10.8,2023-2024
206,NIU ,MAC ,31,336,10.8,2023-2024
