Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
149,Buffalo ,MAC ,33,19,14,"2,175",65.9,"2,098",63.6,2.3,2023-2024
150,UC Santa Barbara ,Big West ,31,16,15,"2,012",64.9,"1,943",62.7,2.2,2023-2024
151,St. John's NY,Big East ,33,18,15,"1,993",60.4,"1,920",58.2,2.2,2023-2024
152,Penn ,Ivy League ,28,15,13,"1,836",65.6,"1,776",63.4,2.1,2023-2024
153,UAB ,AAC ,32,18,14,"2,302",71.9,"2,234",69.8,2.1,2023-2024
154,Furman ,SoCon ,31,15,16,"2,051",66.2,"1,986",64.1,2.1,2023-2024
155,Saint Louis ,Atlantic 10 ,40,22,18,"2,883",72.1,"2,801",70,2.1,2023-2024
156,Austin Peay ,ASUN ,33,17,16,"2,053",62.3,"1,986",60.2,2,2023-2024
156,Texas Tech ,Big 12 ,33,17,16,"2,141",64.9,"2,074",62.8,2,2023-2024
158,Duquesne ,Atlantic 10 ,34,21,13,"2,346",69,"2,277",67,2,2023-2024
159,San Diego St. ,Mountain West ,35,22,13,"2,321",66.3,"2,252",64.3,2,2023-2024
160,UC Davis ,Big West ,34,20,14,"2,106",61.9,"2,039",60,2,2023-2024
161,Ga. Southern ,Sun Belt ,33,15,18,"2,385",72.3,"2,323",70.4,1.9,2023-2024
162,Lipscomb ,ASUN ,30,17,13,"2,037",67.9,"1,983",66.1,1.8,2023-2024
163,Binghamton ,America East ,31,14,17,"1,920",61.9,"1,869",60.3,1.6,2023-2024
164,Charlotte ,AAC ,31,16,15,"2,000",64.5,"1,953",63,1.5,2023-2024
165,SMU ,AAC ,30,14,16,"2,095",69.8,"2,050",68.3,1.5,2023-2024
166,Pacific ,WCC ,34,19,15,"2,424",71.3,"2,375",69.9,1.4,2023-2024
167,Towson ,CAA ,31,20,11,"2,072",66.8,"2,028",65.4,1.4,2023-2024
168,Texas St. ,Sun Belt ,32,14,18,"2,076",64.9,"2,031",63.5,1.4,2023-2024
169,Brown ,Ivy League ,27,16,11,"1,704",63.1,"1,668",61.8,1.3,2023-2024
170,Drexel ,CAA ,34,19,15,"1,945",57.2,"1,900",55.9,1.3,2023-2024
171,Boston College ,ACC ,33,14,19,"2,342",71,"2,299",69.7,1.3,2023-2024
172,Fresno St. ,Mountain West ,33,15,18,"2,121",64.3,"2,079",63,1.3,2023-2024
173,Georgia St. ,Sun Belt ,30,15,15,"2,094",69.8,"2,056",68.5,1.3,2023-2024
174,Howard ,MEAC ,31,15,16,"1,827",58.9,"1,788",57.7,1.3,2023-2024
175,UTSA ,AAC ,33,18,15,"2,132",64.6,"2,094",63.5,1.2,2023-2024
176,Boston U. ,Patriot ,32,20,12,"2,004",62.6,"1,971",61.6,1,2023-2024
177,Delaware ,CAA ,31,11,20,"2,090",67.4,"2,060",66.5,1,2023-2024
178,Western Ky. ,CUSA ,32,15,17,"2,060",64.4,"2,032",63.5,0.9,2023-2024
179,California ,Pac-12 ,34,19,15,"2,250",66.2,"2,221",65.3,0.9,2023-2024
180,Georgia Tech ,ACC ,33,17,16,"2,234",67.7,"2,210",67,0.7,2023-2024
181,Morehead St. ,OVC ,30,15,15,"1,989",66.3,"1,968",65.6,0.7,2023-2024
182,Montana St. ,Big Sky ,33,17,16,"1,938",58.7,"1,915",58,0.7,2023-2024
