Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
315,Florida A&M ,SWAC ,30,9,21,"1,795",59.8,"2,101",70,-10.2,2023-2024
316,Eastern Mich. ,MAC ,29,7,22,"1,661",57.3,"1,958",67.5,-10.2,2023-2024
317,IU Indy ,Horizon ,30,7,23,"1,934",64.5,"2,253",75.1,-10.6,2023-2024
318,South Alabama ,Sun Belt ,32,9,23,"1,942",60.7,"2,288",71.5,-10.8,2023-2024
319,Valparaiso ,MVC ,30,5,25,"1,853",61.8,"2,183",72.8,-11,2023-2024
320,Robert Morris ,Horizon ,30,6,24,"1,660",55.3,"1,991",66.4,-11,2023-2024
321,Portland St. ,Big Sky ,31,8,23,"1,746",56.3,"2,096",67.6,-11.3,2023-2024
322,Houston Christian ,Southland ,29,6,23,"1,556",53.7,"1,886",65,-11.4,2023-2024
323,UTRGV ,WAC ,29,6,23,"1,727",59.6,"2,058",71,-11.4,2023-2024
324,Cornell ,Ivy League ,26,7,19,"1,455",56,"1,752",67.4,-11.4,2023-2024
325,Seattle U ,WAC ,29,6,23,"1,844",63.6,"2,180",75.2,-11.6,2023-2024
326,UMass Lowell ,America East ,29,4,25,"1,505",51.9,"1,844",63.6,-11.7,2023-2024
327,Wagner ,NEC ,28,7,21,"1,548",55.3,"1,877",67,-11.8,2023-2024
328,St. Bonaventure ,Atlantic 10 ,30,4,26,"1,640",54.7,"1,995",66.5,-11.8,2023-2024
329,Saint Peter's ,MAAC ,30,7,23,"1,517",50.6,"1,873",62.4,-11.9,2023-2024
330,Texas Southern ,SWAC ,29,7,22,"1,721",59.3,"2,096",72.3,-12.9,2023-2024
331,Massachusetts ,Atlantic 10 ,32,5,27,"1,857",58,"2,277",71.2,-13.1,2023-2024
332,La Salle ,Atlantic 10 ,30,8,22,"1,729",57.6,"2,124",70.8,-13.2,2023-2024
333,McNeese ,Southland ,31,6,25,"2,020",65.2,"2,430",78.4,-13.2,2023-2024
334,Delaware St. ,MEAC ,28,8,20,"1,611",57.5,"1,982",70.8,-13.3,2023-2024
335,Hampton ,CAA ,29,3,26,"1,580",54.5,"1,978",68.2,-13.7,2023-2024
336,Northwestern ,Big Ten ,30,9,21,"1,984",66.1,"2,409",80.3,-14.2,2023-2024
337,Gardner-Webb ,Big South ,30,6,24,"1,868",62.3,"2,301",76.7,-14.4,2023-2024
338,CSUN ,Big West ,30,3,27,"1,655",55.2,"2,089",69.6,-14.5,2023-2024
339,Bradley ,MVC ,32,6,26,"1,925",60.2,"2,408",75.3,-15.1,2023-2024
340,Pepperdine ,WCC ,30,5,25,"1,627",54.2,"2,104",70.1,-15.9,2023-2024
341,Utah St. ,Mountain West ,30,5,25,"1,686",56.2,"2,219",74,-17.8,2023-2024
342,Evansville ,MVC ,32,4,28,"2,011",62.8,"2,595",81.1,-18.3,2023-2024
343,UNCW ,CAA ,30,5,25,"1,635",54.5,"2,183",72.8,-18.3,2023-2024
344,Saint Francis PA,NEC ,30,5,25,"1,544",51.5,"2,096",69.9,-18.4,2023-2024
345,South Carolina St. ,MEAC ,30,2,28,"1,450",48.3,"2,073",69.1,-20.8,2023-2024
346,Mississippi Val. ,SWAC ,31,4,27,"1,720",55.5,"2,391",77.1,-21.6,2023-2024
347,Xavier ,Big East ,28,1,27,"1,420",50.7,"2,034",72.6,-21.9,2023-2024
348,Alabama St. ,SWAC ,29,3,26,"1,431",49.3,"2,126",73.4,-24,2023-2024
349,Chicago St. ,DI Independent ,27,1,26,"1,592",59,"2,241",83,-24,2023-2024
