Rank RPG,Team,Conference,Games,Wins,Losses,Rebounds,Rebounds Per Game,Season
172,Chicago St. ,DI Independent ,27,1,26,983,36.41,2023-2024
173,Marquette ,Big East ,32,23,9,"1,165",36.41,2023-2024
174,Fla. Atlantic ,AAC ,30,11,19,"1,092",36.4,2023-2024
175,UC Irvine ,Big West ,32,23,9,"1,164",36.38,2023-2024
175,UNI ,MVC ,32,16,16,"1,164",36.38,2023-2024
177,Arkansas St. ,Sun Belt ,30,13,17,"1,091",36.37,2023-2024
178,Oakland ,Horizon ,29,12,17,"1,054",36.34,2023-2024
179,Penn St. ,Big Ten ,35,22,13,"1,272",36.34,2023-2024
180,FGCU ,ASUN ,34,29,5,"1,234",36.29,2023-2024
181,Bryant ,America East ,30,15,15,"1,088",36.27,2023-2024
182,Clemson ,ACC ,31,12,19,"1,124",36.26,2023-2024
183,Wisconsin ,Big Ten ,32,15,17,"1,160",36.25,2023-2024
184,Princeton ,Ivy League ,30,25,5,"1,087",36.23,2023-2024
185,Nevada ,Mountain West ,32,16,16,"1,159",36.22,2023-2024
186,Sacred Heart ,NEC ,34,24,10,"1,231",36.21,2023-2024
187,CSUN ,Big West ,30,3,27,"1,085",36.17,2023-2024
187,Siena ,MAAC ,30,18,12,"1,085",36.17,2023-2024
189,Buffalo ,MAC ,33,19,14,"1,192",36.12,2023-2024
189,Missouri St. ,MVC ,33,23,10,"1,192",36.12,2023-2024
191,Georgetown ,Big East ,35,23,12,"1,264",36.11,2023-2024
192,Morgan St. ,MEAC ,30,8,22,"1,083",36.1,2023-2024
193,Canisius ,MAAC ,31,17,14,"1,117",36.03,2023-2024
193,FDU ,NEC ,31,14,17,"1,117",36.03,2023-2024
195,Belmont ,MVC ,35,26,9,"1,260",36,2023-2024
195,Grand Canyon ,WAC ,32,24,8,"1,152",36,2023-2024
197,UAB ,AAC ,32,18,14,"1,151",35.97,2023-2024
198,San Diego ,WCC ,31,9,22,"1,115",35.97,2023-2024
199,Niagara ,MAAC ,35,21,14,"1,257",35.91,2023-2024
200,Michigan ,Big Ten ,34,20,14,"1,221",35.91,2023-2024
201,Milwaukee ,Horizon ,32,16,16,"1,149",35.91,2023-2024
202,UC Davis ,Big West ,34,20,14,"1,220",35.88,2023-2024
203,Washington St. ,Pac-12 ,36,21,15,"1,291",35.86,2023-2024
204,IU Indy ,Horizon ,30,7,23,"1,075",35.83,2023-2024
205,Saint Louis ,Atlantic 10 ,40,22,18,"1,433",35.83,2023-2024
206,Harvard ,Ivy League ,28,16,12,"1,003",35.82,2023-2024
207,Elon ,CAA ,32,11,21,"1,146",35.81,2023-2024
208,UTEP ,CUSA ,31,12,19,"1,110",35.81,2023-2024
209,Samford ,SoCon ,30,14,16,"1,071",35.7,2023-2024
210,Seattle U ,WAC ,29,6,23,"1,035",35.69,2023-2024
211,Washington ,Pac-12 ,31,16,15,"1,106",35.68,2023-2024
212,San Diego St. ,Mountain West ,35,22,13,"1,248",35.66,2023-2024
213,Evansville ,MVC ,32,4,28,"1,140",35.63,2023-2024
214,Pacific ,WCC ,34,19,15,"1,211",35.62,2023-2024
215,Coppin St. ,MEAC ,30,12,18,"1,068",35.6,2023-2024
216,Lehigh ,Patriot ,30,17,13,"1,067",35.57,2023-2024
217,Creighton ,Big East ,32,26,6,"1,138",35.56,2023-2024
218,William & Mary ,CAA ,29,15,14,"1,031",35.55,2023-2024
219,Presbyterian ,Big South ,36,21,15,"1,279",35.53,2023-2024
220,ETSU ,SoCon ,30,18,12,"1,065",35.5,2023-2024
220,LIU ,NEC ,30,8,22,"1,065",35.5,2023-2024
222,North Florida ,ASUN ,30,9,21,"1,064",35.47,2023-2024
223,Radford ,Big South ,33,15,18,"1,169",35.42,2023-2024
224,Houston ,Big 12 ,30,14,16,"1,062",35.4,2023-2024
225,Cal Poly ,Big West ,31,17,14,"1,095",35.32,2023-2024
226,Villanova ,Big East ,35,22,13,"1,234",35.26,2023-2024
227,UTRGV ,WAC ,29,6,23,"1,022",35.24,2023-2024
228,SIUE ,OVC ,31,5,26,"1,092",35.23,2023-2024
229,Indiana ,Big Ten ,32,26,6,"1,127",35.22,2023-2024
230,Purdue ,Big Ten ,34,15,19,"1,197",35.21,2023-2024
231,Missouri ,SEC ,30,11,19,"1,056",35.2,2023-2024
232,Nicholls ,Southland ,32,14,18,"1,126",35.19,2023-2024
233,Idaho ,Big Sky ,31,15,16,"1,090",35.16,2023-2024
234,Alcorn ,SWAC ,32,12,20,"1,125",35.16,2023-2024
235,Saint Joseph's ,Atlantic 10 ,34,28,6,"1,194",35.12,2023-2024
236,Gardner-Webb ,Big South ,30,6,24,"1,051",35.03,2023-2024
237,Southern Ill. ,MVC ,31,11,20,"1,086",35.03,2023-2024
238,Tulane ,AAC ,32,12,20,"1,121",35.03,2023-2024
239,Boston College ,ACC ,33,14,19,"1,156",35.03,2023-2024
240,Northern Ky. ,Horizon ,31,11,20,"1,084",34.97,2023-2024
241,Pepperdine ,WCC ,30,5,25,"1,048",34.93,2023-2024
242,Bowling Green ,MAC ,31,16,15,"1,081",34.87,2023-2024
243,Purdue Fort Wayne ,Horizon ,36,23,13,"1,255",34.86,2023-2024
244,Weber St. ,Big Sky ,33,8,25,"1,149",34.82,2023-2024
245,Mississippi Val. ,SWAC ,31,4,27,"1,079",34.81,2023-2024
246,Yale ,Ivy League ,27,8,19,938,34.74,2023-2024
247,Tennessee Tech ,OVC ,31,16,15,"1,076",34.71,2023-2024
248,North Ala. ,ASUN ,30,12,18,"1,041",34.7,2023-2024
248,UNCW ,CAA ,30,5,25,"1,041",34.7,2023-2024
250,Portland ,WCC ,34,21,13,"1,177",34.62,2023-2024
251,San Jose St. ,Mountain West ,31,7,24,"1,073",34.61,2023-2024
252,Colgate ,Patriot ,34,20,14,"1,174",34.53,2023-2024
253,Brown ,Ivy League ,27,16,11,932,34.52,2023-2024
254,Tennessee St. ,OVC ,30,11,19,"1,035",34.5,2023-2024
255,Kansas ,Big 12 ,33,20,13,"1,138",34.48,2023-2024
256,New Hampshire ,America East ,29,9,20,"1,000",34.48,2023-2024
257,Manhattan ,MAAC ,30,18,12,"1,034",34.47,2023-2024
258,USC Upstate ,Big South ,32,16,16,"1,102",34.44,2023-2024
259,Davidson ,Atlantic 10 ,26,18,8,895,34.42,2023-2024
260,Hawaii ,Big West ,31,20,11,"1,067",34.42,2023-2024
261,UAlbany ,America East ,32,25,7,"1,100",34.38,2023-2024
262,Prairie View ,SWAC ,29,11,18,994,34.28,2023-2024
263,Florida A&M ,SWAC ,30,9,21,"1,028",34.27,2023-2024
264,Austin Peay ,ASUN ,33,17,16,"1,130",34.24,2023-2024
265,Green Bay ,Horizon ,34,27,7,"1,164",34.24,2023-2024
266,Utah St. ,Mountain West ,30,5,25,"1,027",34.23,2023-2024
267,Northwestern ,Big Ten ,30,9,21,"1,026",34.2,2023-2024
268,Kentucky ,SEC ,32,12,20,"1,094",34.19,2023-2024
268,Youngstown St. ,Horizon ,32,14,18,"1,094",34.19,2023-2024
270,Wright St. ,Horizon ,33,18,15,"1,127",34.15,2023-2024
271,Seton Hall ,Big East ,32,17,15,"1,091",34.09,2023-2024
272,Fresno St. ,Mountain West ,33,15,18,"1,125",34.09,2023-2024
273,LMU CA,WCC ,30,11,19,"1,022",34.07,2023-2024
274,Michigan St. ,Big Ten ,31,22,9,"1,055",34.03,2023-2024
275,Richmond ,Atlantic 10 ,35,29,6,"1,191",34.03,2023-2024
276,Houston Christian ,Southland ,29,6,23,986,34,2023-2024
276,Western Caro. ,SoCon ,30,6,24,"1,020",34,2023-2024
278,Oklahoma St. ,Big 12 ,30,14,16,"1,018",33.93,2023-2024
279,Montana St. ,Big Sky ,33,17,16,"1,119",33.91,2023-2024
280,Texas St. ,Sun Belt ,32,14,18,"1,085",33.91,2023-2024
281,Utah Valley ,WAC ,29,10,19,983,33.9,2023-2024
282,Texas Tech ,Big 12 ,33,17,16,"1,116",33.82,2023-2024
283,Wyoming ,Mountain West ,33,18,15,"1,115",33.79,2023-2024
284,Delaware St. ,MEAC ,28,8,20,945,33.75,2023-2024
285,Louisiana Tech ,CUSA ,33,14,19,"1,112",33.7,2023-2024
286,Arizona St. ,Pac-12 ,31,11,20,"1,043",33.65,2023-2024
287,Army West Point ,Patriot ,29,12,17,975,33.62,2023-2024
288,Cal St. Fullerton ,Big West ,31,10,21,"1,042",33.61,2023-2024
288,Mount St. Mary's ,MAAC ,31,14,17,"1,042",33.61,2023-2024
290,American ,Patriot ,30,10,20,"1,008",33.6,2023-2024
290,Saint Francis PA,NEC ,30,5,25,"1,008",33.6,2023-2024
292,Robert Morris ,Horizon ,30,6,24,"1,007",33.57,2023-2024
293,Cornell ,Ivy League ,26,7,19,872,33.54,2023-2024
294,Ball St. ,MAC ,34,28,6,"1,140",33.53,2023-2024
295,Ohio St. ,Big Ten ,32,26,6,"1,072",33.5,2023-2024
296,Sacramento St. ,Big Sky ,31,6,25,"1,038",33.48,2023-2024
297,La Salle ,Atlantic 10 ,30,8,22,"1,004",33.47,2023-2024
298,Miami OH,MAC ,29,9,20,970,33.45,2023-2024
299,UMBC ,America East ,29,10,19,968,33.38,2023-2024
300,Quinnipiac ,MAAC ,31,13,18,"1,034",33.35,2023-2024
301,UC Riverside ,Big West ,32,18,14,"1,067",33.34,2023-2024
302,Wagner ,NEC ,28,7,21,931,33.25,2023-2024
303,Alabama St. ,SWAC ,29,3,26,963,33.21,2023-2024
304,Jacksonville ,ASUN ,31,11,20,"1,026",33.1,2023-2024
305,Hampton ,CAA ,29,3,26,959,33.07,2023-2024
306,Western Ky. ,CUSA ,32,15,17,"1,058",33.06,2023-2024
307,Dartmouth ,Ivy League ,26,7,19,859,33.04,2023-2024
308,South Carolina St. ,MEAC ,30,2,28,991,33.03,2023-2024
309,Boston U. ,Patriot ,32,20,12,"1,051",32.84,2023-2024
310,New Mexico St. ,CUSA ,31,13,18,"1,018",32.84,2023-2024
311,Southeast Mo. St. ,OVC ,29,9,20,951,32.79,2023-2024
312,Butler ,Big East ,32,15,17,"1,049",32.78,2023-2024
313,Iona ,MAAC ,30,11,19,983,32.77,2023-2024
313,Saint Peter's ,MAAC ,30,7,23,983,32.77,2023-2024
315,Drexel ,CAA ,34,19,15,"1,114",32.76,2023-2024
316,UT Martin ,OVC ,33,16,17,"1,078",32.67,2023-2024
317,Colorado St. ,Mountain West ,31,20,11,"1,009",32.55,2023-2024
318,Bucknell ,Patriot ,31,13,18,"1,006",32.45,2023-2024
319,Lafayette ,Patriot ,30,10,20,973,32.43,2023-2024
320,Binghamton ,America East ,31,14,17,"1,004",32.39,2023-2024
321,CSU Bakersfield ,Big West ,29,8,21,938,32.34,2023-2024
322,Arizona ,Pac-12 ,34,18,16,"1,097",32.26,2023-2024
323,Air Force ,Mountain West ,32,15,17,"1,031",32.22,2023-2024
324,Denver ,Summit League ,30,8,22,965,32.17,2023-2024
325,Rider ,MAAC ,31,10,21,996,32.13,2023-2024
326,St. Bonaventure ,Atlantic 10 ,30,4,26,961,32.03,2023-2024
327,Chattanooga ,SoCon ,33,28,5,"1,057",32.03,2023-2024
328,Northeastern ,CAA ,27,10,17,863,31.96,2023-2024
329,West Virginia ,Big 12 ,33,25,8,"1,053",31.91,2023-2024
330,Vermont ,America East ,37,25,12,"1,180",31.89,2023-2024
331,UMass Lowell ,America East ,29,4,25,923,31.83,2023-2024
332,Central Conn. St. ,NEC ,30,9,21,952,31.73,2023-2024
333,Omaha ,Summit League ,31,8,23,980,31.61,2023-2024
334,High Point ,Big South ,32,20,12,"1,009",31.53,2023-2024
335,Loyola Maryland ,Patriot ,31,16,15,977,31.52,2023-2024
336,Louisiana ,Sun Belt ,31,17,14,976,31.48,2023-2024
337,Loyola Chicago ,Atlantic 10 ,31,15,16,973,31.39,2023-2024
338,Southern U. ,SWAC ,30,15,15,937,31.23,2023-2024
339,Bradley ,MVC ,32,6,26,999,31.22,2023-2024
340,Ohio ,MAC ,30,11,19,928,30.93,2023-2024
341,St. John's NY,Big East ,33,18,15,"1,016",30.79,2023-2024
342,Wake Forest ,ACC ,32,7,25,978,30.56,2023-2024
343,Little Rock ,OVC ,30,12,18,916,30.53,2023-2024
344,Portland St. ,Big Sky ,31,8,23,919,29.65,2023-2024
345,Western Mich. ,MAC ,30,12,18,884,29.47,2023-2024
346,Valparaiso ,MVC ,30,5,25,881,29.37,2023-2024
347,Massachusetts ,Atlantic 10 ,32,5,27,928,29,2023-2024
348,Saint Mary's CA,WCC ,31,13,18,887,28.61,2023-2024
349,Xavier ,Big East ,28,1,27,782,27.93,2023-2024
