Rank FTPct,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Season
286,Yale ,Ivy League ,27,8,19,276,407,67.8,2023-2024
287,UMBC ,America East ,29,10,19,299,441,67.8,2023-2024
288,Oregon ,Pac-12 ,32,11,21,360,531,67.8,2023-2024
289,Xavier ,Big East ,28,1,27,193,285,67.7,2023-2024
290,UTEP ,CUSA ,31,12,19,402,594,67.7,2023-2024
291,James Madison ,Sun Belt ,35,23,12,454,671,67.7,2023-2024
292,North Texas ,AAC ,32,23,9,508,751,67.6,2023-2024
293,Presbyterian ,Big South ,36,21,15,317,469,67.6,2023-2024
294,Navy ,Patriot ,31,14,17,296,438,67.6,2023-2024
295,Massachusetts ,Atlantic 10 ,32,5,27,270,400,67.5,2023-2024
296,Minnesota ,Big Ten ,36,20,16,372,552,67.4,2023-2024
297,Boise St. ,Mountain West ,35,21,14,386,573,67.4,2023-2024
298,Canisius ,MAAC ,31,17,14,307,456,67.3,2023-2024
299,Saint Francis PA,NEC ,30,5,25,257,382,67.3,2023-2024
300,Pepperdine ,WCC ,30,5,25,263,391,67.3,2023-2024
301,Providence ,Big East ,34,13,21,380,566,67.1,2023-2024
302,Western Caro. ,SoCon ,30,6,24,283,422,67.1,2023-2024
303,Marshall ,Sun Belt ,33,26,7,464,692,67.1,2023-2024
304,Delaware St. ,MEAC ,28,8,20,303,452,67,2023-2024
305,CSUN ,Big West ,30,3,27,311,464,67,2023-2024
306,Oakland ,Horizon ,29,12,17,433,648,66.8,2023-2024
307,South Carolina St. ,MEAC ,30,2,28,347,520,66.7,2023-2024
308,Morgan St. ,MEAC ,30,8,22,286,430,66.5,2023-2024
309,Wichita St. ,AAC ,32,10,22,404,608,66.4,2023-2024
310,Campbell ,CAA ,31,17,14,273,411,66.4,2023-2024
311,Kennesaw St. ,ASUN ,30,11,19,355,536,66.2,2023-2024
312,Ga. Southern ,Sun Belt ,33,15,18,447,675,66.2,2023-2024
313,North Carolina ,ACC ,33,20,13,400,606,66,2023-2024
314,North Florida ,ASUN ,30,9,21,284,432,65.7,2023-2024
315,Bethune-Cookman ,SWAC ,31,15,16,475,723,65.7,2023-2024
316,Stetson ,ASUN ,32,17,15,377,576,65.5,2023-2024
317,Southern Utah ,WAC ,30,8,22,276,422,65.4,2023-2024
318,Rhode Island ,Atlantic 10 ,35,21,14,368,563,65.4,2023-2024
318,Southern U. ,SWAC ,30,15,15,368,563,65.4,2023-2024
320,UTSA ,AAC ,33,18,15,322,494,65.2,2023-2024
321,Fordham ,Atlantic 10 ,29,12,17,249,383,65,2023-2024
322,UNC Greensboro ,SoCon ,33,21,12,338,520,65,2023-2024
323,Coastal Carolina ,Sun Belt ,33,12,21,492,757,65,2023-2024
324,Hampton ,CAA ,29,3,26,367,566,64.8,2023-2024
325,Northwestern St. ,Southland ,30,11,19,335,517,64.8,2023-2024
326,Miami FL,ACC ,31,19,12,261,404,64.6,2023-2024
327,Elon ,CAA ,32,11,21,250,387,64.6,2023-2024
328,Hofstra ,CAA ,32,11,21,315,489,64.4,2023-2024
329,Alcorn ,SWAC ,32,12,20,378,589,64.2,2023-2024
330,Alabama St. ,SWAC ,29,3,26,281,438,64.2,2023-2024
331,La Salle ,Atlantic 10 ,30,8,22,238,371,64.2,2023-2024
332,Central Mich. ,MAC ,28,6,22,283,442,64,2023-2024
333,Morehead St. ,OVC ,30,15,15,367,575,63.8,2023-2024
334,Ark.-Pine Bluff ,SWAC ,33,17,16,475,746,63.7,2023-2024
335,Old Dominion ,Sun Belt ,32,22,10,385,605,63.6,2023-2024
336,Kentucky ,SEC ,32,12,20,392,618,63.4,2023-2024
337,Kansas City ,Summit League ,32,12,20,350,552,63.4,2023-2024
338,Little Rock ,OVC ,30,12,18,303,478,63.4,2023-2024
339,Northeastern ,CAA ,27,10,17,222,351,63.2,2023-2024
340,N.C. Central ,MEAC ,31,16,15,363,574,63.2,2023-2024
341,Fla. Atlantic ,AAC ,30,11,19,340,538,63.2,2023-2024
342,Mississippi Val. ,SWAC ,31,4,27,343,543,63.2,2023-2024
343,Samford ,SoCon ,30,14,16,332,529,62.8,2023-2024
344,Memphis ,AAC ,30,13,17,342,548,62.4,2023-2024
345,UMass Lowell ,America East ,29,4,25,219,351,62.4,2023-2024
346,BYU ,Big 12 ,33,16,17,337,542,62.2,2023-2024
347,Coppin St. ,MEAC ,30,12,18,332,534,62.2,2023-2024
348,Utah Valley ,WAC ,29,10,19,311,504,61.7,2023-2024
349,Bryant ,America East ,30,15,15,293,477,61.4,2023-2024
