Rank 3ptPctDef,Team,Conference,Games,Wins,Losses,Opp 3Pt FGA,Opp 3Pt FG,Pct,Season
320,Nevada ,Mountain West ,32,16,16,576,197,34.2,2023-2024
321,Wake Forest ,ACC ,32,7,25,567,194,34.2,2023-2024
322,Tulane ,AAC ,32,12,20,678,232,34.2,2023-2024
323,Wisconsin ,Big Ten ,32,15,17,663,227,34.2,2023-2024
324,Duquesne ,Atlantic 10 ,34,21,13,709,243,34.3,2023-2024
325,UC Davis ,Big West ,34,20,14,615,211,34.3,2023-2024
326,UTRGV ,WAC ,29,6,23,606,208,34.3,2023-2024
327,Pacific ,WCC ,34,19,15,702,241,34.3,2023-2024
328,California ,Pac-12 ,34,19,15,533,183,34.3,2023-2024
329,Massachusetts ,Atlantic 10 ,32,5,27,653,225,34.5,2023-2024
330,Loyola Maryland ,Patriot ,31,16,15,524,181,34.5,2023-2024
331,UTEP ,CUSA ,31,12,19,757,262,34.6,2023-2024
332,Omaha ,Summit League ,31,8,23,692,240,34.7,2023-2024
333,UNI ,MVC ,32,16,16,725,252,34.8,2023-2024
334,Loyola Chicago ,Atlantic 10 ,31,15,16,561,195,34.8,2023-2024
335,St. Bonaventure ,Atlantic 10 ,30,4,26,602,210,34.9,2023-2024
336,Fordham ,Atlantic 10 ,29,12,17,616,215,34.9,2023-2024
337,Pittsburgh ,ACC ,32,8,24,744,260,34.9,2023-2024
338,Oakland ,Horizon ,29,12,17,523,183,35,2023-2024
339,Weber St. ,Big Sky ,33,8,25,700,245,35,2023-2024
340,Fresno St. ,Mountain West ,33,15,18,529,188,35.5,2023-2024
341,DePaul ,Big East ,32,12,20,629,225,35.8,2023-2024
342,Bowling Green ,MAC ,31,16,15,606,217,35.8,2023-2024
343,Northwestern ,Big Ten ,30,9,21,673,241,35.8,2023-2024
344,Tennessee Tech ,OVC ,31,16,15,478,172,36,2023-2024
345,Dayton ,Atlantic 10 ,31,12,19,535,193,36.1,2023-2024
346,McNeese ,Southland ,31,6,25,565,206,36.5,2023-2024
347,Morgan St. ,MEAC ,30,8,22,436,160,36.7,2023-2024
348,San Jose St. ,Mountain West ,31,7,24,686,253,36.9,2023-2024
349,Princeton ,Ivy League ,30,25,5,449,170,37.9,2023-2024
