RankRM,Team,Conference,Games,Wins,Losses,REB,RPG,OPP REB,OPP RPG,Margin,Season
242,App State ,Sun Belt ,32,17,15,"1,251",39.1,"1,314",41.1,-2,2023-2024
243,Montana St. ,Big Sky ,33,17,16,"1,119",33.9,"1,184",35.9,-2,2023-2024
244,North Florida ,ASUN ,30,9,21,"1,064",35.5,"1,125",37.5,-2,2023-2024
245,Morgan St. ,MEAC ,30,8,22,"1,083",36.1,"1,145",38.2,-2.1,2023-2024
246,Fla. Atlantic ,AAC ,30,11,19,"1,092",36.4,"1,155",38.5,-2.1,2023-2024
247,Oral Roberts ,Summit League ,32,21,11,"1,244",38.9,"1,314",41.1,-2.2,2023-2024
248,N.C. Central ,MEAC ,31,16,15,"1,259",40.6,"1,327",42.8,-2.2,2023-2024
249,Tulsa ,AAC ,35,25,10,"1,325",37.9,"1,403",40.1,-2.2,2023-2024
250,Marist ,MAAC ,31,6,25,"1,164",37.5,"1,234",39.8,-2.3,2023-2024
251,Portland ,WCC ,34,21,13,"1,177",34.6,"1,254",36.9,-2.3,2023-2024
252,Boston College ,ACC ,33,14,19,"1,156",35,"1,234",37.4,-2.4,2023-2024
253,Cal St. Fullerton ,Big West ,31,10,21,"1,042",33.6,"1,116",36,-2.4,2023-2024
254,West Virginia ,Big 12 ,33,25,8,"1,053",31.9,"1,132",34.3,-2.4,2023-2024
255,Georgia St. ,Sun Belt ,30,15,15,"1,148",38.3,"1,220",40.7,-2.4,2023-2024
255,Oklahoma St. ,Big 12 ,30,14,16,"1,018",33.9,"1,090",36.3,-2.4,2023-2024
257,Ohio St. ,Big Ten ,32,26,6,"1,072",33.5,"1,150",35.9,-2.4,2023-2024
258,Southern Ill. ,MVC ,31,11,20,"1,086",35,"1,163",37.5,-2.5,2023-2024
259,Buffalo ,MAC ,33,19,14,"1,192",36.1,"1,274",38.6,-2.5,2023-2024
260,ULM ,Sun Belt ,35,21,14,"1,369",39.1,"1,457",41.6,-2.5,2023-2024
261,Northern Ky. ,Horizon ,31,11,20,"1,084",35,"1,166",37.6,-2.6,2023-2024
262,UMBC ,America East ,29,10,19,968,33.4,"1,046",36.1,-2.7,2023-2024
263,Sam Houston ,CUSA ,29,7,22,"1,105",38.1,"1,184",40.8,-2.7,2023-2024
264,American ,Patriot ,30,10,20,"1,008",33.6,"1,090",36.3,-2.7,2023-2024
265,South Alabama ,Sun Belt ,32,9,23,"1,184",37,"1,272",39.8,-2.8,2023-2024
266,UT Arlington ,WAC ,33,17,16,"1,224",37.1,"1,315",39.8,-2.8,2023-2024
267,IU Indy ,Horizon ,30,7,23,"1,075",35.8,"1,158",38.6,-2.8,2023-2024
268,Jacksonville ,ASUN ,31,11,20,"1,026",33.1,"1,112",35.9,-2.8,2023-2024
269,Nicholls ,Southland ,32,14,18,"1,126",35.2,"1,217",38,-2.8,2023-2024
270,Quinnipiac ,MAAC ,31,13,18,"1,034",33.4,"1,125",36.3,-2.9,2023-2024
271,Elon ,CAA ,32,11,21,"1,146",35.8,"1,240",38.8,-2.9,2023-2024
272,Iona ,MAAC ,30,11,19,983,32.8,"1,073",35.8,-3,2023-2024
273,Florida ,SEC ,32,16,16,"1,174",36.7,"1,271",39.7,-3,2023-2024
274,Loyola Chicago ,Atlantic 10 ,31,15,16,973,31.4,"1,068",34.5,-3.1,2023-2024
275,Coppin St. ,MEAC ,30,12,18,"1,068",35.6,"1,161",38.7,-3.1,2023-2024
276,UAB ,AAC ,32,18,14,"1,151",36,"1,251",39.1,-3.1,2023-2024
277,Lafayette ,Patriot ,30,10,20,973,32.4,"1,067",35.6,-3.1,2023-2024
278,Seattle U ,WAC ,29,6,23,"1,035",35.7,"1,127",38.9,-3.2,2023-2024
278,Southeast Mo. St. ,OVC ,29,9,20,951,32.8,"1,043",36,-3.2,2023-2024
280,Florida St. ,ACC ,34,23,11,"1,391",40.9,"1,505",44.3,-3.4,2023-2024
281,Western Caro. ,SoCon ,30,6,24,"1,020",34,"1,124",37.5,-3.5,2023-2024
282,Arizona ,Pac-12 ,34,18,16,"1,097",32.3,"1,217",35.8,-3.5,2023-2024
283,Dartmouth ,Ivy League ,26,7,19,859,33,951,36.6,-3.5,2023-2024
284,Niagara ,MAAC ,35,21,14,"1,257",35.9,"1,381",39.5,-3.5,2023-2024
285,Binghamton ,America East ,31,14,17,"1,004",32.4,"1,114",35.9,-3.5,2023-2024
286,Bucknell ,Patriot ,31,13,18,"1,006",32.5,"1,118",36.1,-3.6,2023-2024
287,Miami OH,MAC ,29,9,20,970,33.4,"1,080",37.2,-3.8,2023-2024
288,Longwood ,Big South ,30,9,21,"1,101",36.7,"1,216",40.5,-3.8,2023-2024
289,Cornell ,Ivy League ,26,7,19,872,33.5,972,37.4,-3.8,2023-2024
290,William & Mary ,CAA ,29,15,14,"1,031",35.6,"1,144",39.4,-3.9,2023-2024
291,Sacramento St. ,Big Sky ,31,6,25,"1,038",33.5,"1,160",37.4,-3.9,2023-2024
292,Robert Morris ,Horizon ,30,6,24,"1,007",33.6,"1,127",37.6,-4,2023-2024
293,Texas Southern ,SWAC ,29,7,22,"1,085",37.4,"1,204",41.5,-4.1,2023-2024
294,Denver ,Summit League ,30,8,22,965,32.2,"1,089",36.3,-4.1,2023-2024
295,Wright St. ,Horizon ,33,18,15,"1,127",34.2,"1,267",38.4,-4.2,2023-2024
296,Kentucky ,SEC ,32,12,20,"1,094",34.2,"1,230",38.4,-4.3,2023-2024
297,Tennessee St. ,OVC ,30,11,19,"1,035",34.5,"1,164",38.8,-4.3,2023-2024
298,North Ala. ,ASUN ,30,12,18,"1,041",34.7,"1,174",39.1,-4.4,2023-2024
299,SIUE ,OVC ,31,5,26,"1,092",35.2,"1,232",39.7,-4.5,2023-2024
300,St. Bonaventure ,Atlantic 10 ,30,4,26,961,32,"1,097",36.6,-4.5,2023-2024
301,Northwestern ,Big Ten ,30,9,21,"1,026",34.2,"1,163",38.8,-4.6,2023-2024
302,Florida A&M ,SWAC ,30,9,21,"1,028",34.3,"1,167",38.9,-4.6,2023-2024
303,Little Rock ,OVC ,30,12,18,916,30.5,"1,059",35.3,-4.8,2023-2024
304,Mount St. Mary's ,MAAC ,31,14,17,"1,042",33.6,"1,190",38.4,-4.8,2023-2024
305,Northeastern ,CAA ,27,10,17,863,32,993,36.8,-4.8,2023-2024
306,New Orleans ,Southland ,30,11,19,"1,134",37.8,"1,283",42.8,-5,2023-2024
306,Southern U. ,SWAC ,30,15,15,937,31.2,"1,086",36.2,-5,2023-2024
308,UC Riverside ,Big West ,32,18,14,"1,067",33.3,"1,226",38.3,-5,2023-2024
309,Saint Francis PA,NEC ,30,5,25,"1,008",33.6,"1,159",38.6,-5,2023-2024
310,Brown ,Ivy League ,27,16,11,932,34.5,"1,068",39.6,-5,2023-2024
311,McNeese ,Southland ,31,6,25,"1,129",36.4,"1,286",41.5,-5.1,2023-2024
312,Delaware St. ,MEAC ,28,8,20,945,33.8,"1,091",39,-5.2,2023-2024
312,Wagner ,NEC ,28,7,21,931,33.3,"1,077",38.5,-5.2,2023-2024
