RankRM,Team,Conference,Games,Wins,Losses,REB,RPG,OPP REB,OPP RPG,Margin,Season
64,N.C. A&T ,CAA ,34,22,12,"1,388",40.8,"1,236",36.4,4.5,2023-2024
64,Providence ,Big East ,34,13,21,"1,289",37.9,"1,137",33.4,4.5,2023-2024
66,Syracuse ,ACC ,32,24,8,"1,322",41.3,"1,179",36.8,4.5,2023-2024
67,Colgate ,Patriot ,34,20,14,"1,174",34.5,"1,023",30.1,4.4,2023-2024
68,Grand Canyon ,WAC ,32,24,8,"1,152",36,"1,010",31.6,4.4,2023-2024
68,Murray St. ,MVC ,32,20,12,"1,292",40.4,"1,150",35.9,4.4,2023-2024
70,North Texas ,AAC ,32,23,9,"1,275",39.8,"1,134",35.4,4.4,2023-2024
71,Eastern Ky. ,ASUN ,34,22,12,"1,344",39.5,"1,198",35.2,4.3,2023-2024
72,Santa Clara ,WCC ,34,25,9,"1,249",36.7,"1,105",32.5,4.2,2023-2024
73,Cleveland St. ,Horizon ,35,29,6,"1,305",37.3,"1,157",33.1,4.2,2023-2024
74,Northern Colo. ,Big Sky ,31,15,16,"1,131",36.5,"1,001",32.3,4.2,2023-2024
75,Notre Dame ,ACC ,35,28,7,"1,391",39.7,"1,248",35.7,4.1,2023-2024
76,George Washington ,Atlantic 10 ,31,13,18,"1,176",37.9,"1,051",33.9,4,2023-2024
77,TCU ,Big 12 ,33,21,12,"1,258",38.1,"1,127",34.2,4,2023-2024
78,Georgetown ,Big East ,35,23,12,"1,264",36.1,"1,129",32.3,3.9,2023-2024
79,Kennesaw St. ,ASUN ,30,11,19,"1,122",37.4,"1,007",33.6,3.8,2023-2024
80,Ga. Southern ,Sun Belt ,33,15,18,"1,522",46.1,"1,396",42.3,3.8,2023-2024
81,UC Irvine ,Big West ,32,23,9,"1,164",36.4,"1,045",32.7,3.7,2023-2024
82,Kansas St. ,Big 12 ,34,26,8,"1,297",38.1,"1,172",34.5,3.7,2023-2024
83,UMES ,MEAC ,30,15,15,"1,146",38.2,"1,036",34.5,3.7,2023-2024
84,Green Bay ,Horizon ,34,27,7,"1,164",34.2,"1,041",30.6,3.6,2023-2024
85,South Fla. ,AAC ,33,19,14,"1,306",39.6,"1,187",36,3.6,2023-2024
86,Middle Tenn. ,CUSA ,35,30,5,"1,330",38,"1,206",34.5,3.5,2023-2024
87,Illinois ,Big Ten ,34,19,15,"1,252",36.8,"1,135",33.4,3.4,2023-2024
87,Toledo ,MAC ,34,28,6,"1,269",37.3,"1,152",33.9,3.4,2023-2024
89,Illinois St. ,MVC ,34,22,12,"1,301",38.3,"1,185",34.9,3.4,2023-2024
90,Indiana ,Big Ten ,32,26,6,"1,127",35.2,"1,020",31.9,3.3,2023-2024
91,Southern Miss. ,Sun Belt ,34,20,14,"1,348",39.6,"1,235",36.3,3.3,2023-2024
92,San Francisco ,WCC ,30,14,16,"1,128",37.6,"1,029",34.3,3.3,2023-2024
93,Saint Joseph's ,Atlantic 10 ,34,28,6,"1,194",35.1,"1,082",31.8,3.3,2023-2024
94,Milwaukee ,Horizon ,32,16,16,"1,149",35.9,"1,044",32.6,3.3,2023-2024
95,FIU ,CUSA ,33,21,12,"1,284",38.9,"1,176",35.6,3.3,2023-2024
95,Grambling ,SWAC ,33,23,10,"1,367",41.4,"1,259",38.2,3.3,2023-2024
97,UIC ,MVC ,34,18,16,"1,275",37.5,"1,164",34.2,3.3,2023-2024
98,Virginia ,ACC ,32,16,16,"1,317",41.2,"1,213",37.9,3.3,2023-2024
99,Miami FL,ACC ,31,19,12,"1,186",38.3,"1,086",35,3.2,2023-2024
100,Morehead St. ,OVC ,30,15,15,"1,211",40.4,"1,115",37.2,3.2,2023-2024
101,Cal Poly ,Big West ,31,17,14,"1,095",35.3,996,32.1,3.2,2023-2024
101,UC Santa Barbara ,Big West ,31,16,15,"1,159",37.4,"1,060",34.2,3.2,2023-2024
103,Southern California ,Pac-12 ,35,29,6,"1,345",38.4,"1,236",35.3,3.1,2023-2024
104,Canisius ,MAAC ,31,17,14,"1,117",36,"1,023",33,3,2023-2024
105,George Mason ,Atlantic 10 ,31,23,8,"1,231",39.7,"1,138",36.7,3,2023-2024
106,Hofstra ,CAA ,32,11,21,"1,221",38.2,"1,128",35.3,2.9,2023-2024
107,Alabama ,SEC ,34,24,10,"1,322",38.9,"1,225",36,2.9,2023-2024
108,A&M-Corpus Christi ,Southland ,32,23,9,"1,289",40.3,"1,200",37.5,2.8,2023-2024
109,Mercer ,SoCon ,32,15,17,"1,226",38.3,"1,138",35.6,2.8,2023-2024
110,Merrimack ,NEC ,31,12,19,"1,198",38.6,"1,113",35.9,2.7,2023-2024
111,Charleston So. ,Big South ,30,11,19,"1,176",39.2,"1,096",36.5,2.7,2023-2024
