Rank ScDef,Team,Conference,Games,Wins,Losses,Opponet Points,Opponet PPG,Season
266,Georgia St. ,Sun Belt ,30,15,15,"2,056",68.5,2023-2024
267,Illinois St. ,MVC ,34,22,12,"2,332",68.6,2023-2024
268,Houston ,Big 12 ,30,14,16,"2,059",68.6,2023-2024
269,SFA ,WAC ,34,22,12,"2,334",68.6,2023-2024
270,Longwood ,Big South ,30,9,21,"2,060",68.7,2023-2024
271,Arkansas ,SEC ,33,18,15,"2,271",68.8,2023-2024
272,Dayton ,Atlantic 10 ,31,12,19,"2,135",68.9,2023-2024
273,Oklahoma ,Big 12 ,33,23,10,"2,280",69.1,2023-2024
274,Pittsburgh ,ACC ,32,8,24,"2,211",69.1,2023-2024
275,South Carolina St. ,MEAC ,30,2,28,"2,073",69.1,2023-2024
276,Iowa St. ,Big 12 ,33,21,12,"2,281",69.1,2023-2024
277,Virginia ,ACC ,32,16,16,"2,212",69.1,2023-2024
278,Memphis ,AAC ,30,13,17,"2,079",69.3,2023-2024
279,Long Beach St. ,Big West ,33,15,18,"2,293",69.5,2023-2024
280,CSUN ,Big West ,30,3,27,"2,089",69.6,2023-2024
281,Boston College ,ACC ,33,14,19,"2,299",69.7,2023-2024
281,Denver ,Summit League ,30,8,22,"2,090",69.7,2023-2024
283,Tennessee ,SEC ,33,20,13,"2,301",69.7,2023-2024
284,UAB ,AAC ,32,18,14,"2,234",69.8,2023-2024
285,Pacific ,WCC ,34,19,15,"2,375",69.9,2023-2024
286,Saint Francis PA,NEC ,30,5,25,"2,096",69.9,2023-2024
287,Wichita St. ,AAC ,32,10,22,"2,236",69.9,2023-2024
288,Bowling Green ,MAC ,31,16,15,"2,169",70,2023-2024
289,Drake ,MVC ,35,29,6,"2,450",70,2023-2024
290,Saint Louis ,Atlantic 10 ,40,22,18,"2,801",70,2023-2024
291,Florida A&M ,SWAC ,30,9,21,"2,101",70,2023-2024
292,Northern Ariz. ,Big Sky ,35,25,10,"2,452",70.1,2023-2024
293,Arizona St. ,Pac-12 ,31,11,20,"2,173",70.1,2023-2024
294,Pepperdine ,WCC ,30,5,25,"2,104",70.1,2023-2024
295,Niagara ,MAAC ,35,21,14,"2,455",70.1,2023-2024
296,Clemson ,ACC ,31,12,19,"2,178",70.3,2023-2024
297,Ga. Southern ,Sun Belt ,33,15,18,"2,323",70.4,2023-2024
298,UNI ,MVC ,32,16,16,"2,255",70.5,2023-2024
299,Jacksonville ,ASUN ,31,11,20,"2,189",70.6,2023-2024
300,Delaware St. ,MEAC ,28,8,20,"1,982",70.8,2023-2024
301,Wright St. ,Horizon ,33,18,15,"2,336",70.8,2023-2024
302,La Salle ,Atlantic 10 ,30,8,22,"2,124",70.8,2023-2024
303,UTRGV ,WAC ,29,6,23,"2,058",71,2023-2024
304,Missouri ,SEC ,30,11,19,"2,130",71,2023-2024
305,Massachusetts ,Atlantic 10 ,32,5,27,"2,277",71.2,2023-2024
306,California Baptist ,WAC ,32,28,4,"2,281",71.3,2023-2024
307,Florida ,SEC ,32,16,16,"2,282",71.3,2023-2024
308,Coastal Carolina ,Sun Belt ,33,12,21,"2,355",71.4,2023-2024
309,DePaul ,Big East ,32,12,20,"2,284",71.4,2023-2024
310,Ohio ,MAC ,30,11,19,"2,144",71.5,2023-2024
311,Florida St. ,ACC ,34,23,11,"2,430",71.5,2023-2024
312,UTEP ,CUSA ,31,12,19,"2,216",71.5,2023-2024
313,South Alabama ,Sun Belt ,32,9,23,"2,288",71.5,2023-2024
314,UT Arlington ,WAC ,33,17,16,"2,364",71.6,2023-2024
315,Central Mich. ,MAC ,28,6,22,"2,007",71.7,2023-2024
316,Indiana St. ,MVC ,32,11,21,"2,295",71.7,2023-2024
317,Penn St. ,Big Ten ,35,22,13,"2,512",71.8,2023-2024
318,Marshall ,Sun Belt ,33,26,7,"2,369",71.8,2023-2024
319,Iowa ,Big Ten ,39,34,5,"2,803",71.9,2023-2024
320,Texas Southern ,SWAC ,29,7,22,"2,096",72.3,2023-2024
321,Sam Houston ,CUSA ,29,7,22,"2,098",72.3,2023-2024
322,North Ala. ,ASUN ,30,12,18,"2,175",72.5,2023-2024
323,Xavier ,Big East ,28,1,27,"2,034",72.6,2023-2024
324,UNCW ,CAA ,30,5,25,"2,183",72.8,2023-2024
324,Valparaiso ,MVC ,30,5,25,"2,183",72.8,2023-2024
326,Oakland ,Horizon ,29,12,17,"2,114",72.9,2023-2024
327,Rutgers ,Big Ten ,32,8,24,"2,335",73,2023-2024
328,Maryland ,Big Ten ,33,19,14,"2,418",73.3,2023-2024
329,Alabama St. ,SWAC ,29,3,26,"2,126",73.3,2023-2024
330,Northern Ky. ,Horizon ,31,11,20,"2,276",73.4,2023-2024
331,App State ,Sun Belt ,32,17,15,"2,350",73.4,2023-2024
332,Southern Utah ,WAC ,30,8,22,"2,208",73.6,2023-2024
333,Utah St. ,Mountain West ,30,5,25,"2,219",74,2023-2024
334,Kentucky ,SEC ,32,12,20,"2,378",74.3,2023-2024
335,Troy ,Sun Belt ,34,22,12,"2,551",75,2023-2024
336,IU Indy ,Horizon ,30,7,23,"2,253",75.1,2023-2024
337,Seattle U ,WAC ,29,6,23,"2,180",75.2,2023-2024
338,Murray St. ,MVC ,32,20,12,"2,407",75.2,2023-2024
339,Bradley ,MVC ,32,6,26,"2,408",75.3,2023-2024
340,Oral Roberts ,Summit League ,32,21,11,"2,413",75.4,2023-2024
341,North Dakota ,Summit League ,30,9,21,"2,297",76.6,2023-2024
342,Gardner-Webb ,Big South ,30,6,24,"2,301",76.7,2023-2024
343,SIUE ,OVC ,31,5,26,"2,388",77,2023-2024
344,Mississippi Val. ,SWAC ,31,4,27,"2,391",77.1,2023-2024
345,McNeese ,Southland ,31,6,25,"2,430",78.4,2023-2024
346,Northwestern ,Big Ten ,30,9,21,"2,409",80.3,2023-2024
347,Evansville ,MVC ,32,4,28,"2,595",81.1,2023-2024
348,Omaha ,Summit League ,31,8,23,"2,516",81.2,2023-2024
349,Chicago St. ,DI Independent ,27,1,26,"2,241",83,2023-2024
