Rank FTAtPG,Team,Conferences,Games,Wins,Losses,Free Throws Made,Free Throw Attempts,Avg,Season
223,Richmond ,Atlantic 10 ,35,29,6,434,539,15.4,2023-2024
224,Colgate ,Patriot ,34,20,14,388,523,15.38,2023-2024
224,Michigan ,Big Ten ,34,20,14,380,523,15.38,2023-2024
226,Duquesne ,Atlantic 10 ,34,21,13,364,522,15.35,2023-2024
227,Minnesota ,Big Ten ,36,20,16,372,552,15.33,2023-2024
228,UConn ,Big East ,39,33,6,444,597,15.31,2023-2024
229,Hofstra ,CAA ,32,11,21,315,489,15.28,2023-2024
230,ETSU ,SoCon ,30,18,12,315,457,15.23,2023-2024
231,Pittsburgh ,ACC ,32,8,24,342,487,15.22,2023-2024
232,UMBC ,America East ,29,10,19,299,441,15.21,2023-2024
233,Nicholls ,Southland ,32,14,18,337,486,15.19,2023-2024
234,Stanford ,Pac-12 ,36,30,6,423,546,15.17,2023-2024
235,Idaho St. ,Big Sky ,30,11,19,327,454,15.13,2023-2024
236,Alabama St. ,SWAC ,29,3,26,281,438,15.1,2023-2024
237,Boston U. ,Patriot ,32,20,12,338,483,15.09,2023-2024
238,Green Bay ,Horizon ,34,27,7,403,513,15.09,2023-2024
239,Yale ,Ivy League ,27,8,19,276,407,15.07,2023-2024
240,Gonzaga ,WCC ,36,32,4,433,542,15.06,2023-2024
241,Radford ,Big South ,33,15,18,343,495,15,2023-2024
242,UTSA ,AAC ,33,18,15,322,494,14.97,2023-2024
243,UNLV ,Mountain West ,33,30,3,379,493,14.94,2023-2024
244,Nevada ,Mountain West ,32,16,16,337,476,14.88,2023-2024
245,St. John's NY,Big East ,33,18,15,364,490,14.85,2023-2024
246,Quinnipiac ,MAAC ,31,13,18,330,460,14.84,2023-2024
247,Charleston So. ,Big South ,30,11,19,305,445,14.83,2023-2024
248,South Fla. ,AAC ,33,19,14,368,489,14.82,2023-2024
248,Weber St. ,Big Sky ,33,8,25,344,489,14.82,2023-2024
250,LIU ,NEC ,30,8,22,308,444,14.8,2023-2024
251,UC Santa Barbara ,Big West ,31,16,15,343,458,14.77,2023-2024
252,Army West Point ,Patriot ,29,12,17,311,428,14.76,2023-2024
253,TCU ,Big 12 ,33,21,12,354,487,14.76,2023-2024
254,UAlbany ,America East ,32,25,7,341,471,14.72,2023-2024
255,Canisius ,MAAC ,31,17,14,307,456,14.71,2023-2024
256,Brown ,Ivy League ,27,16,11,269,396,14.67,2023-2024
257,UC Riverside ,Big West ,32,18,14,342,469,14.66,2023-2024
258,Oklahoma St. ,Big 12 ,30,14,16,323,438,14.6,2023-2024
259,Seton Hall ,Big East ,32,17,15,351,467,14.59,2023-2024
260,NIU ,MAC ,31,15,16,317,452,14.58,2023-2024
261,Harvard ,Ivy League ,28,16,12,304,406,14.5,2023-2024
262,Marist ,MAAC ,31,6,25,321,449,14.48,2023-2024
263,Milwaukee ,Horizon ,32,16,16,364,462,14.44,2023-2024
264,North Florida ,ASUN ,30,9,21,284,432,14.4,2023-2024
265,Davidson ,Atlantic 10 ,26,18,8,271,374,14.38,2023-2024
266,Eastern Mich. ,MAC ,29,7,22,293,417,14.38,2023-2024
267,Morgan St. ,MEAC ,30,8,22,286,430,14.33,2023-2024
268,Oregon St. ,Pac-12 ,35,27,8,357,499,14.26,2023-2024
269,DePaul ,Big East ,32,12,20,338,455,14.22,2023-2024
270,Penn ,Ivy League ,28,15,13,302,398,14.21,2023-2024
271,Bradley ,MVC ,32,6,26,326,454,14.19,2023-2024
272,Fresno St. ,Mountain West ,33,15,18,342,468,14.18,2023-2024
273,Dayton ,Atlantic 10 ,31,12,19,320,439,14.16,2023-2024
274,Northwestern ,Big Ten ,30,9,21,329,424,14.13,2023-2024
275,Navy ,Patriot ,31,14,17,296,438,14.13,2023-2024
276,St. Bonaventure ,Atlantic 10 ,30,4,26,309,423,14.1,2023-2024
277,Siena ,MAAC ,30,18,12,293,422,14.07,2023-2024
277,Southern Utah ,WAC ,30,8,22,276,422,14.07,2023-2024
277,Western Caro. ,SoCon ,30,6,24,283,422,14.07,2023-2024
280,Jacksonville St. ,CUSA ,29,12,17,281,407,14.03,2023-2024
281,Western Mich. ,MAC ,30,12,18,293,421,14.03,2023-2024
282,Duke ,ACC ,34,22,12,365,476,14,2023-2024
283,Wake Forest ,ACC ,32,7,25,324,447,13.97,2023-2024
284,Mercer ,SoCon ,32,15,17,335,445,13.91,2023-2024
285,Loyola Maryland ,Patriot ,31,16,15,307,430,13.87,2023-2024
286,Wofford ,SoCon ,30,17,13,320,416,13.87,2023-2024
287,Liberty ,CUSA ,34,18,16,338,469,13.79,2023-2024
287,Santa Clara ,WCC ,34,25,9,382,469,13.79,2023-2024
289,Rider ,MAAC ,31,10,21,295,426,13.74,2023-2024
290,George Washington ,Atlantic 10 ,31,13,18,297,424,13.68,2023-2024
291,California ,Pac-12 ,34,19,15,350,465,13.68,2023-2024
292,LMU CA,WCC ,30,11,19,283,407,13.57,2023-2024
293,Fairfield ,MAAC ,33,31,2,315,447,13.55,2023-2024
294,Sacramento St. ,Big Sky ,31,6,25,288,419,13.52,2023-2024
295,Marquette ,Big East ,32,23,9,329,431,13.47,2023-2024
296,Holy Cross ,Patriot ,34,21,13,333,456,13.41,2023-2024
297,Missouri ,SEC ,30,11,19,309,402,13.4,2023-2024
297,Princeton ,Ivy League ,30,25,5,283,402,13.4,2023-2024
299,Montana ,Big Sky ,33,23,10,341,442,13.39,2023-2024
300,Tulane ,AAC ,32,12,20,327,426,13.31,2023-2024
301,Air Force ,Mountain West ,32,15,17,320,425,13.28,2023-2024
302,Campbell ,CAA ,31,17,14,273,411,13.26,2023-2024
303,Fordham ,Atlantic 10 ,29,12,17,249,383,13.21,2023-2024
304,Saint Joseph's ,Atlantic 10 ,34,28,6,363,449,13.21,2023-2024
305,Virginia Tech ,ACC ,33,25,8,336,435,13.18,2023-2024
306,Creighton ,Big East ,32,26,6,348,421,13.16,2023-2024
307,Gardner-Webb ,Big South ,30,6,24,276,394,13.13,2023-2024
308,Saint Mary's CA,WCC ,31,13,18,302,407,13.13,2023-2024
309,Utah ,Pac-12 ,34,23,11,334,446,13.12,2023-2024
310,Georgetown ,Big East ,35,23,12,323,459,13.11,2023-2024
311,Pepperdine ,WCC ,30,5,25,263,391,13.03,2023-2024
312,Miami FL,ACC ,31,19,12,261,404,13.03,2023-2024
313,Presbyterian ,Big South ,36,21,15,317,469,13.03,2023-2024
314,Northeastern ,CAA ,27,10,17,222,351,13,2023-2024
315,Houston Christian ,Southland ,29,6,23,276,376,12.97,2023-2024
316,Eastern Wash. ,Big Sky ,35,29,6,340,453,12.94,2023-2024
317,Manhattan ,MAAC ,30,18,12,300,388,12.93,2023-2024
318,Washington St. ,Pac-12 ,36,21,15,356,464,12.89,2023-2024
319,Cal St. Fullerton ,Big West ,31,10,21,303,398,12.84,2023-2024
319,Idaho ,Big Sky ,31,15,16,308,398,12.84,2023-2024
321,Central Conn. St. ,NEC ,30,9,21,291,384,12.8,2023-2024
322,Saint Francis PA,NEC ,30,5,25,257,382,12.73,2023-2024
323,FDU ,NEC ,31,14,17,286,392,12.65,2023-2024
324,Youngstown St. ,Horizon ,32,14,18,309,404,12.63,2023-2024
325,Massachusetts ,Atlantic 10 ,32,5,27,270,400,12.5,2023-2024
326,La Salle ,Atlantic 10 ,30,8,22,238,371,12.37,2023-2024
327,Portland St. ,Big Sky ,31,8,23,278,383,12.35,2023-2024
328,Miami OH,MAC ,29,9,20,255,357,12.31,2023-2024
329,CSU Bakersfield ,Big West ,29,8,21,242,355,12.24,2023-2024
330,Iona ,MAAC ,30,11,19,267,367,12.23,2023-2024
331,New Hampshire ,America East ,29,9,20,255,353,12.17,2023-2024
332,Maine ,America East ,34,24,10,306,413,12.15,2023-2024
333,San Jose St. ,Mountain West ,31,7,24,272,376,12.13,2023-2024
334,UMass Lowell ,America East ,29,4,25,219,351,12.1,2023-2024
335,Elon ,CAA ,32,11,21,250,387,12.09,2023-2024
336,Robert Morris ,Horizon ,30,6,24,251,362,12.07,2023-2024
337,Washington ,Pac-12 ,31,16,15,258,371,11.97,2023-2024
338,Binghamton ,America East ,31,14,17,267,368,11.87,2023-2024
339,Wyoming ,Mountain West ,33,18,15,295,389,11.79,2023-2024
340,Mount St. Mary's ,MAAC ,31,14,17,252,364,11.74,2023-2024
341,Villanova ,Big East ,35,22,13,305,406,11.6,2023-2024
342,Colorado St. ,Mountain West ,31,20,11,281,358,11.55,2023-2024
343,Vermont ,America East ,37,25,12,295,413,11.16,2023-2024
344,Lafayette ,Patriot ,30,10,20,231,333,11.1,2023-2024
345,UC Davis ,Big West ,34,20,14,261,370,10.88,2023-2024
346,Butler ,Big East ,32,15,17,249,348,10.88,2023-2024
347,Drexel ,CAA ,34,19,15,262,360,10.59,2023-2024
348,Dartmouth ,Ivy League ,26,7,19,181,265,10.19,2023-2024
349,Xavier ,Big East ,28,1,27,193,285,10.18,2023-2024
