Rank StPG,Team,Conference,Games,Wins,Losses,Steals,Steals Per Game,Season
287,Montana ,Big Sky ,33,23,10,207,6.3,2023-2024
288,Bryant ,America East ,30,15,15,188,6.3,2023-2024
289,Northern Ky. ,Horizon ,31,11,20,194,6.3,2023-2024
290,Central Mich. ,MAC ,28,6,22,175,6.3,2023-2024
291,Bowling Green ,MAC ,31,16,15,193,6.2,2023-2024
291,Marist ,MAAC ,31,6,25,193,6.2,2023-2024
293,Penn ,Ivy League ,28,15,13,174,6.2,2023-2024
294,Detroit Mercy ,Horizon ,33,17,16,205,6.2,2023-2024
294,Georgia Tech ,ACC ,33,17,16,205,6.2,2023-2024
296,IU Indy ,Horizon ,30,7,23,186,6.2,2023-2024
296,St. Bonaventure ,Atlantic 10 ,30,4,26,186,6.2,2023-2024
298,Chicago St. ,DI Independent ,27,1,26,167,6.2,2023-2024
299,Arkansas ,SEC ,33,18,15,204,6.2,2023-2024
300,UMBC ,America East ,29,10,19,179,6.2,2023-2024
301,Saint Francis PA,NEC ,30,5,25,185,6.2,2023-2024
302,Bucknell ,Patriot ,31,13,18,190,6.1,2023-2024
303,Presbyterian ,Big South ,36,21,15,219,6.1,2023-2024
304,UTRGV ,WAC ,29,6,23,176,6.1,2023-2024
305,Butler ,Big East ,32,15,17,194,6.1,2023-2024
306,Richmond ,Atlantic 10 ,35,29,6,212,6.1,2023-2024
307,South Dakota ,Summit League ,36,23,13,218,6.1,2023-2024
308,Akron ,MAC ,29,11,18,175,6,2023-2024
309,Lafayette ,Patriot ,30,10,20,181,6,2023-2024
310,Dayton ,Atlantic 10 ,31,12,19,187,6,2023-2024
311,Quinnipiac ,MAAC ,31,13,18,186,6,2023-2024
312,UNC Asheville ,Big South ,31,11,20,185,6,2023-2024
313,Duquesne ,Atlantic 10 ,34,21,13,202,5.9,2023-2024
314,Evansville ,MVC ,32,4,28,189,5.9,2023-2024
315,Campbell ,CAA ,31,17,14,183,5.9,2023-2024
316,Manhattan ,MAAC ,30,18,12,177,5.9,2023-2024
316,Northwestern St. ,Southland ,30,11,19,177,5.9,2023-2024
318,Northwestern ,Big Ten ,30,9,21,176,5.9,2023-2024
319,Colgate ,Patriot ,34,20,14,199,5.9,2023-2024
320,South Dakota St. ,Summit League ,33,27,6,193,5.8,2023-2024
321,FDU ,NEC ,31,14,17,181,5.8,2023-2024
322,Monmouth ,CAA ,32,22,10,186,5.8,2023-2024
323,Canisius ,MAAC ,31,17,14,180,5.8,2023-2024
324,Chattanooga ,SoCon ,33,28,5,191,5.8,2023-2024
325,NIU ,MAC ,31,15,16,177,5.7,2023-2024
326,Iona ,MAAC ,30,11,19,170,5.7,2023-2024
327,Colorado St. ,Mountain West ,31,20,11,175,5.6,2023-2024
328,Wyoming ,Mountain West ,33,18,15,186,5.6,2023-2024
329,BYU ,Big 12 ,33,16,17,184,5.6,2023-2024
330,Dartmouth ,Ivy League ,26,7,19,144,5.5,2023-2024
331,Gardner-Webb ,Big South ,30,6,24,166,5.5,2023-2024
332,Bradley ,MVC ,32,6,26,175,5.5,2023-2024
333,Saint Joseph's ,Atlantic 10 ,34,28,6,185,5.4,2023-2024
334,James Madison ,Sun Belt ,35,23,12,190,5.4,2023-2024
335,TCU ,Big 12 ,33,21,12,179,5.4,2023-2024
336,Oregon ,Pac-12 ,32,11,21,170,5.3,2023-2024
337,Vermont ,America East ,37,25,12,196,5.3,2023-2024
338,Stanford ,Pac-12 ,36,30,6,188,5.2,2023-2024
339,Holy Cross ,Patriot ,34,21,13,176,5.2,2023-2024
340,Western Caro. ,SoCon ,30,6,24,153,5.1,2023-2024
341,South Fla. ,AAC ,33,19,14,162,4.9,2023-2024
342,Tennessee ,SEC ,33,20,13,159,4.8,2023-2024
343,Liberty ,CUSA ,34,18,16,163,4.8,2023-2024
344,Iowa St. ,Big 12 ,33,21,12,158,4.8,2023-2024
345,UC Santa Barbara ,Big West ,31,16,15,144,4.6,2023-2024
346,Illinois St. ,MVC ,34,22,12,156,4.6,2023-2024
347,Oregon St. ,Pac-12 ,35,27,8,157,4.5,2023-2024
348,Southern Utah ,WAC ,30,8,22,132,4.4,2023-2024
349,Virginia Tech ,ACC ,33,25,8,132,4,2023-2024
