Rank BPPG,Team,Conference,Games,wins,losses,Bench,Average,Season
290,Providence ,Big East ,34,13,21,444,13.1,2023-2024
291,Florida St. ,ACC ,34,23,11,442,13,2023-2024
291,Holy Cross ,Patriot ,34,21,13,442,13,2023-2024
293,NC State ,ACC ,38,31,7,491,12.9,2023-2024
294,Minnesota ,Big Ten ,36,20,16,464,12.9,2023-2024
295,Southern Ill. ,MVC ,31,11,20,399,12.9,2023-2024
296,Harvard ,Ivy League ,28,16,12,360,12.9,2023-2024
297,UC Davis ,Big West ,34,20,14,437,12.9,2023-2024
298,BYU ,Big 12 ,33,16,17,419,12.7,2023-2024
299,Wisconsin ,Big Ten ,32,15,17,405,12.7,2023-2024
300,San Francisco ,WCC ,30,14,16,378,12.6,2023-2024
301,Saint Francis PA,NEC ,30,5,25,373,12.4,2023-2024
302,FDU ,NEC ,31,14,17,384,12.4,2023-2024
303,UCF ,Big 12 ,29,12,17,359,12.4,2023-2024
304,Lafayette ,Patriot ,30,10,20,371,12.4,2023-2024
305,TCU ,Big 12 ,33,21,12,408,12.4,2023-2024
306,Little Rock ,OVC ,30,12,18,368,12.3,2023-2024
307,Manhattan ,MAAC ,30,18,12,366,12.2,2023-2024
308,Miami OH,MAC ,29,9,20,353,12.2,2023-2024
309,UC Riverside ,Big West ,32,18,14,388,12.1,2023-2024
310,Notre Dame ,ACC ,35,28,7,422,12.1,2023-2024
311,Arizona St. ,Pac-12 ,31,11,20,369,11.9,2023-2024
312,Northern Ky. ,Horizon ,31,11,20,367,11.8,2023-2024
313,UNCW ,CAA ,30,5,25,354,11.8,2023-2024
314,Eastern Ill. ,OVC ,33,15,18,387,11.7,2023-2024
315,Arkansas St. ,Sun Belt ,30,13,17,351,11.7,2023-2024
316,Dartmouth ,Ivy League ,26,7,19,304,11.7,2023-2024
317,Tulane ,AAC ,32,12,20,372,11.6,2023-2024
318,St. Bonaventure ,Atlantic 10 ,30,4,26,348,11.6,2023-2024
319,Creighton ,Big East ,32,26,6,366,11.4,2023-2024
319,Indiana ,Big Ten ,32,26,6,366,11.4,2023-2024
321,Presbyterian ,Big South ,36,21,15,409,11.4,2023-2024
322,Maine ,America East ,34,24,10,386,11.4,2023-2024
323,Coppin St. ,MEAC ,30,12,18,340,11.3,2023-2024
324,Marquette ,Big East ,32,23,9,360,11.3,2023-2024
325,Bowling Green ,MAC ,31,16,15,344,11.1,2023-2024
326,Wofford ,SoCon ,30,17,13,327,10.9,2023-2024
326,Denver ,Summit League ,30,8,22,327,10.9,2023-2024
328,Buffalo ,MAC ,33,19,14,355,10.8,2023-2024
329,Montana St. ,Big Sky ,33,17,16,352,10.7,2023-2024
330,Bryant ,America East ,30,15,15,319,10.6,2023-2024
330,Southern Utah ,WAC ,30,8,22,319,10.6,2023-2024
332,Oklahoma St. ,Big 12 ,30,14,16,314,10.5,2023-2024
333,Northeastern ,CAA ,27,10,17,281,10.4,2023-2024
334,Yale ,Ivy League ,27,8,19,275,10.2,2023-2024
335,Brown ,Ivy League ,27,16,11,265,9.8,2023-2024
336,Southern California ,Pac-12 ,35,29,6,343,9.8,2023-2024
337,Sacramento St. ,Big Sky ,31,6,25,303,9.8,2023-2024
338,St. John's NY,Big East ,33,18,15,322,9.8,2023-2024
339,Bucknell ,Patriot ,31,13,18,300,9.7,2023-2024
340,Oregon ,Pac-12 ,32,11,21,306,9.6,2023-2024
341,Central Conn. St. ,NEC ,30,9,21,286,9.5,2023-2024
342,New Mexico ,Mountain West ,32,21,11,303,9.5,2023-2024
343,Mount St. Mary's ,MAAC ,31,14,17,282,9.1,2023-2024
344,Saint Joseph's ,Atlantic 10 ,34,28,6,309,9.1,2023-2024
345,Portland St. ,Big Sky ,31,8,23,251,8.1,2023-2024
346,Kansas ,Big 12 ,33,20,13,253,7.7,2023-2024
347,Arkansas ,SEC ,33,18,15,251,7.6,2023-2024
348,UT Martin ,OVC ,33,16,17,243,7.4,2023-2024
349,Middle Tenn. ,CUSA ,35,30,5,195,5.6,2023-2024
