Rank FGPCTDef,Team,Conference,Games,Wins,Losses,Opponent FGM,Opponent FGA,Opponent FG %,Season
243,Saint Mary's CA,WCC,31,13,18,717,"1,725",41.6,2023-2024
244,Iona ,MAAC ,30,11,19,736,"1,769",41.6,2023-2024
245,Louisville ,ACC ,34,24,10,784,"1,884",41.6,2023-2024
246,Penn St. ,Big Ten ,35,22,13,898,"2,157",41.6,2023-2024
247,Little Rock ,OVC ,30,12,18,627,"1,504",41.7,2023-2024
248,Mercer ,SoCon ,32,15,17,742,"1,777",41.8,2023-2024
249,Texas St. ,Sun Belt ,32,14,18,732,"1,752",41.8,2023-2024
250,Maryland ,Big Ten ,33,19,14,890,"2,128",41.8,2023-2024
251,CSU Bakersfield ,Big West ,29,8,21,700,"1,671",41.9,2023-2024
252,UNI ,MVC ,32,16,16,816,"1,947",41.9,2023-2024
253,Georgia Tech ,ACC ,33,17,16,850,"2,027",41.9,2023-2024
254,Wagner ,NEC ,28,7,21,664,"1,582",42,2023-2024
255,Robert Morris ,Horizon ,30,6,24,677,"1,612",42,2023-2024
256,Kennesaw St. ,ASUN ,30,11,19,691,"1,645",42,2023-2024
257,Cal St. Fullerton ,Big West ,31,10,21,748,"1,778",42.1,2023-2024
258,LIU ,NEC ,30,8,22,758,"1,801",42.1,2023-2024
259,Tennessee St. ,OVC ,30,11,19,707,"1,679",42.1,2023-2024
260,Missouri ,SEC ,30,11,19,798,"1,895",42.1,2023-2024
261,Minnesota ,Big Ten ,36,20,16,890,"2,113",42.1,2023-2024
262,Abilene Christian ,WAC ,30,14,16,727,"1,726",42.1,2023-2024
263,Eastern Mich. ,MAC ,29,7,22,710,"1,684",42.2,2023-2024
264,Jacksonville ,ASUN ,31,11,20,772,"1,831",42.2,2023-2024
265,UMBC ,America East ,29,10,19,697,"1,652",42.2,2023-2024
266,North Dakota ,Summit League ,30,9,21,807,"1,912",42.2,2023-2024
267,San Diego ,WCC ,31,9,22,764,"1,809",42.2,2023-2024
268,Purdue ,Big Ten ,34,15,19,860,"2,036",42.2,2023-2024
269,North Florida ,ASUN ,30,9,21,760,"1,799",42.2,2023-2024
270,Texas Tech ,Big 12 ,33,17,16,766,"1,811",42.3,2023-2024
271,Nevada ,Mountain West ,32,16,16,750,"1,773",42.3,2023-2024
272,Loyola Maryland ,Patriot ,31,16,15,688,"1,625",42.3,2023-2024
273,California ,Pac-12 ,34,19,15,839,"1,981",42.4,2023-2024
274,Indiana St. ,MVC ,32,11,21,795,"1,876",42.4,2023-2024
275,App State ,Sun Belt ,32,17,15,865,"2,041",42.4,2023-2024
276,Southeast Mo. St. ,OVC ,29,9,20,670,"1,580",42.4,2023-2024
277,Akron ,MAC ,29,11,18,715,"1,686",42.4,2023-2024
278,Arizona ,Pac-12 ,34,18,16,810,"1,908",42.5,2023-2024
279,Ohio ,MAC ,30,11,19,751,"1,768",42.5,2023-2024
280,Prairie View ,SWAC ,29,11,18,668,"1,572",42.5,2023-2024
281,Alabama St. ,SWAC ,29,3,26,748,"1,760",42.5,2023-2024
282,Butler ,Big East ,32,15,17,774,"1,819",42.6,2023-2024
283,Weber St. ,Big Sky ,33,8,25,798,"1,874",42.6,2023-2024
284,American ,Patriot ,30,10,20,719,"1,686",42.6,2023-2024
285,UMass Lowell ,America East ,29,4,25,704,"1,650",42.7,2023-2024
286,Wichita St. ,AAC ,32,10,22,838,"1,964",42.7,2023-2024
287,IU Indy ,Horizon ,30,7,23,827,"1,938",42.7,2023-2024
288,St. John's NY,Big East ,33,18,15,766,"1,795",42.7,2023-2024
289,La Salle ,Atlantic 10 ,30,8,22,791,"1,853",42.7,2023-2024
290,Loyola Chicago ,Atlantic 10 ,31,15,16,725,"1,698",42.7,2023-2024
291,Pepperdine ,WCC ,30,5,25,769,"1,800",42.7,2023-2024
292,Cornell ,Ivy League ,26,7,19,639,"1,492",42.8,2023-2024
293,UTRGV ,WAC ,29,6,23,756,"1,765",42.8,2023-2024
294,Arizona St. ,Pac-12 ,31,11,20,796,"1,858",42.8,2023-2024
295,North Ala. ,ASUN ,30,12,18,805,"1,879",42.8,2023-2024
296,Mississippi Val. ,SWAC ,31,4,27,825,"1,924",42.9,2023-2024
297,North Dakota St. ,Summit League ,34,22,12,834,"1,944",42.9,2023-2024
298,Rutgers ,Big Ten ,32,8,24,842,"1,962",42.9,2023-2024
299,UAB ,AAC ,32,18,14,884,"2,058",43,2023-2024
300,Saint Francis PA,NEC ,30,5,25,760,"1,769",43,2023-2024
301,Michigan ,Big Ten ,34,20,14,787,"1,830",43,2023-2024
302,UTEP ,CUSA ,31,12,19,782,"1,817",43,2023-2024
303,Clemson ,ACC ,31,12,19,832,"1,933",43,2023-2024
304,Bowling Green ,MAC ,31,16,15,794,"1,841",43.1,2023-2024
305,Missouri St. ,MVC ,33,23,10,722,"1,673",43.2,2023-2024
306,Michigan St. ,Big Ten ,31,22,9,775,"1,795",43.2,2023-2024
307,Utah St. ,Mountain West ,30,5,25,816,"1,886",43.3,2023-2024
308,Southern Utah ,WAC ,30,8,22,822,"1,899",43.3,2023-2024
309,DePaul ,Big East ,32,12,20,837,"1,926",43.5,2023-2024
310,LMU CA,WCC,30,11,19,725,"1,665",43.5,2023-2024
311,Saint Louis ,Atlantic 10 ,40,22,18,"1,015","2,330",43.6,2023-2024
312,Wright St. ,Horizon ,33,18,15,865,"1,984",43.6,2023-2024
313,SIUE ,OVC ,31,5,26,856,"1,961",43.7,2023-2024
314,Western Mich. ,MAC ,30,12,18,716,"1,638",43.7,2023-2024
315,Dayton ,Atlantic 10 ,31,12,19,782,"1,788",43.7,2023-2024
316,St. Bonaventure ,Atlantic 10 ,30,4,26,753,"1,721",43.8,2023-2024
317,Fresno St. ,Mountain West ,33,15,18,765,"1,748",43.8,2023-2024
318,Houston ,Big 12 ,30,14,16,744,"1,700",43.8,2023-2024
319,Northern Ky. ,Horizon ,31,11,20,833,"1,902",43.8,2023-2024
320,Seattle U ,WAC ,29,6,23,778,"1,776",43.8,2023-2024
321,Murray St. ,MVC ,32,20,12,903,"2,060",43.8,2023-2024
322,Memphis ,AAC ,30,13,17,739,"1,685",43.9,2023-2024
323,Wake Forest ,ACC ,32,7,25,782,"1,781",43.9,2023-2024
324,UNCW ,CAA ,30,5,25,863,"1,965",43.9,2023-2024
325,Gardner-Webb ,Big South ,30,6,24,818,"1,861",44,2023-2024
326,Southern Ill. ,MVC ,31,11,20,760,"1,724",44.1,2023-2024
327,Delaware St. ,MEAC ,28,8,20,762,"1,726",44.1,2023-2024
328,Air Force ,Mountain West ,32,15,17,756,"1,711",44.2,2023-2024
329,Army West Point ,Patriot ,29,12,17,678,"1,531",44.3,2023-2024
330,Oral Roberts ,Summit League ,32,21,11,903,"2,026",44.6,2023-2024
331,Massachusetts ,Atlantic 10 ,32,5,27,797,"1,788",44.6,2023-2024
332,McNeese ,Southland ,31,6,25,906,"2,028",44.7,2023-2024
333,Tennessee Tech ,OVC ,31,16,15,745,"1,667",44.7,2023-2024
334,Chicago St. ,DI Independent ,27,1,26,818,"1,830",44.7,2023-2024
335,Denver ,Summit League ,30,8,22,778,"1,738",44.8,2023-2024
336,Yale ,Ivy League ,27,8,19,670,"1,495",44.8,2023-2024
337,Sam Houston ,CUSA ,29,7,22,789,"1,757",44.9,2023-2024
338,Northwestern ,Big Ten ,30,9,21,866,"1,928",44.9,2023-2024
339,Marshall ,Sun Belt ,33,26,7,880,"1,957",45,2023-2024
340,Boston College ,ACC ,33,14,19,855,"1,900",45,2023-2024
341,Portland St. ,Big Sky ,31,8,23,795,"1,765",45,2023-2024
342,Bradley ,MVC ,32,6,26,906,"2,011",45.1,2023-2024
343,Xavier ,Big East ,28,1,27,744,"1,649",45.1,2023-2024
344,Niagara ,MAAC ,35,21,14,863,"1,905",45.3,2023-2024
345,Valparaiso ,MVC ,30,5,25,745,"1,627",45.8,2023-2024
346,Oakland ,Horizon ,29,12,17,754,"1,636",46.1,2023-2024
347,Kentucky ,SEC ,32,12,20,907,"1,961",46.3,2023-2024
348,Evansville ,MVC ,32,4,28,961,"2,049",46.9,2023-2024
349,Omaha ,Summit League ,31,8,23,926,"1,940",47.7,2023-2024
