Rank 3ptPct,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goal Attempts,3 pt Field Goal Percent,Season
282,Longwood ,Big South ,30,9,21,111,394,28.2,2023-2024
283,Old Dominion ,Sun Belt ,32,22,10,176,625,28.2,2023-2024
284,Wichita St. ,AAC ,32,10,22,157,558,28.1,2023-2024
285,Sam Houston ,CUSA ,29,7,22,150,535,28,2023-2024
286,Alabama A&M ,SWAC ,31,15,16,123,439,28,2023-2024
287,Sacred Heart ,NEC ,34,24,10,182,650,28,2023-2024
288,Southeastern La. ,Southland ,31,19,12,108,386,28,2023-2024
289,Texas A&M ,SEC ,32,19,13,167,599,27.9,2023-2024
290,Pittsburgh ,ACC ,32,8,24,137,492,27.8,2023-2024
291,Coastal Carolina ,Sun Belt ,33,12,21,143,515,27.8,2023-2024
292,New Orleans ,Southland ,30,11,19,122,440,27.7,2023-2024
293,Boston College ,ACC ,33,14,19,151,546,27.7,2023-2024
294,Quinnipiac ,MAAC ,31,13,18,157,568,27.6,2023-2024
295,NJIT ,America East ,30,12,18,120,435,27.6,2023-2024
296,Georgia ,SEC ,30,12,18,105,382,27.5,2023-2024
297,UC Riverside ,Big West ,32,18,14,164,597,27.5,2023-2024
298,LIU ,NEC ,30,8,22,169,617,27.4,2023-2024
299,UIC ,MVC ,34,18,16,149,544,27.4,2023-2024
300,Kansas City ,Summit League ,32,12,20,116,425,27.3,2023-2024
301,Lamar University ,Southland ,31,24,7,131,480,27.3,2023-2024
302,St. Bonaventure ,Atlantic 10 ,30,4,26,165,606,27.2,2023-2024
303,Wagner ,NEC ,28,7,21,111,408,27.2,2023-2024
304,UMES ,MEAC ,30,15,15,137,504,27.2,2023-2024
305,Yale ,Ivy League ,27,8,19,106,390,27.2,2023-2024
306,UTRGV ,WAC ,29,6,23,190,700,27.1,2023-2024
307,East Carolina ,AAC ,33,19,14,134,495,27.1,2023-2024
308,North Dakota ,Summit League ,30,9,21,138,510,27.1,2023-2024
309,IU Indy ,Horizon ,30,7,23,139,514,27,2023-2024
310,Southeast Mo. St. ,OVC ,29,9,20,130,481,27,2023-2024
311,Montana St. ,Big Sky ,33,17,16,151,560,27,2023-2024
312,Saint Peter's ,MAAC ,30,7,23,160,594,26.9,2023-2024
313,UMass Lowell ,America East ,29,4,25,108,401,26.9,2023-2024
314,Coppin St. ,MEAC ,30,12,18,164,616,26.6,2023-2024
315,Kennesaw St. ,ASUN ,30,11,19,97,365,26.6,2023-2024
316,Mount St. Mary's ,MAAC ,31,14,17,161,607,26.5,2023-2024
317,Ole Miss ,SEC ,33,24,9,101,381,26.5,2023-2024
318,Evansville ,MVC ,32,4,28,155,589,26.3,2023-2024
319,Jacksonville St. ,CUSA ,29,12,17,187,711,26.3,2023-2024
320,Western Caro. ,SoCon ,30,6,24,116,444,26.1,2023-2024
321,A&M-Corpus Christi ,Southland ,32,23,9,156,600,26,2023-2024
322,Winthrop ,Big South ,30,14,16,137,528,25.9,2023-2024
323,N.C. A&T ,CAA ,34,22,12,155,598,25.9,2023-2024
324,American ,Patriot ,30,10,20,126,488,25.8,2023-2024
325,Eastern Mich. ,MAC ,29,7,22,130,504,25.8,2023-2024
326,UC Irvine ,Big West ,32,23,9,140,544,25.7,2023-2024
327,Saint Francis PA,NEC ,30,5,25,127,494,25.7,2023-2024
328,UIW ,Southland ,30,19,11,169,658,25.7,2023-2024
329,Elon ,CAA ,32,11,21,138,538,25.7,2023-2024
330,CSUN ,Big West ,30,3,27,134,524,25.6,2023-2024
331,Texas Southern ,SWAC ,29,7,22,152,595,25.5,2023-2024
332,Tennessee St. ,OVC ,30,11,19,96,379,25.3,2023-2024
333,Bethune-Cookman ,SWAC ,31,15,16,113,448,25.2,2023-2024
334,South Carolina St. ,MEAC ,30,2,28,85,338,25.1,2023-2024
335,Ga. Southern ,Sun Belt ,33,15,18,130,519,25,2023-2024
336,Central Conn. St. ,NEC ,30,9,21,115,467,24.6,2023-2024
337,Mississippi Val. ,SWAC ,31,4,27,129,524,24.6,2023-2024
338,Cornell ,Ivy League ,26,7,19,70,285,24.6,2023-2024
339,Alcorn ,SWAC ,32,12,20,107,436,24.5,2023-2024
340,Alabama St. ,SWAC ,29,3,26,116,473,24.5,2023-2024
341,Robert Morris ,Horizon ,30,6,24,151,617,24.5,2023-2024
342,Hampton ,CAA ,29,3,26,85,352,24.1,2023-2024
343,UNC Asheville ,Big South ,31,11,20,127,533,23.8,2023-2024
344,Pepperdine ,WCC ,30,5,25,110,465,23.7,2023-2024
345,Morgan St. ,MEAC ,30,8,22,110,467,23.6,2023-2024
346,Chicago St. ,DI Independent ,27,1,26,68,292,23.3,2023-2024
347,Prairie View ,SWAC ,29,11,18,82,354,23.2,2023-2024
348,UNCW ,CAA ,30,5,25,103,459,22.4,2023-2024
349,Stetson ,ASUN ,32,17,15,120,536,22.4,2023-2024
