Rank RbDfPG,Team,Conference,Games,Defensive Rebounds,Defensive Rebounds Per Game,Season
320,Ohio ,MAC ,30,665,22.2,2023-2024
321,UC Riverside ,Big West ,32,707,22.1,2023-2024
322,Yale ,Ivy League ,27,595,22,2023-2024
323,St. John's NY,Big East ,33,726,22,2023-2024
324,Little Rock ,OVC ,30,658,21.9,2023-2024
325,Southeast Mo. St. ,OVC ,29,635,21.9,2023-2024
326,New Mexico St. ,CUSA ,31,677,21.8,2023-2024
327,Houston ,Big 12 ,30,653,21.8,2023-2024
328,Arizona ,Pac-12 ,34,740,21.8,2023-2024
329,Drexel ,CAA ,34,739,21.7,2023-2024
330,Morgan St. ,MEAC ,30,652,21.7,2023-2024
331,West Virginia ,Big 12 ,33,717,21.7,2023-2024
332,LMU CA,WCC ,30,651,21.7,2023-2024
333,Tennessee St. ,OVC ,30,649,21.6,2023-2024
334,Oakland ,Horizon ,29,624,21.5,2023-2024
334,Prairie View ,SWAC ,29,624,21.5,2023-2024
336,Valparaiso ,MVC ,30,645,21.5,2023-2024
337,Army West Point ,Patriot ,29,622,21.4,2023-2024
337,New Hampshire ,America East ,29,622,21.4,2023-2024
339,Southern U. ,SWAC ,30,642,21.4,2023-2024
340,Loyola Chicago ,Atlantic 10 ,31,662,21.4,2023-2024
340,Saint Mary's CA,WCC ,31,662,21.4,2023-2024
342,Wake Forest ,ACC ,32,681,21.3,2023-2024
343,Boston College ,ACC ,33,700,21.2,2023-2024
344,Western Mich. ,MAC ,30,632,21.1,2023-2024
345,Air Force ,Mountain West ,32,663,20.7,2023-2024
346,Xavier ,Big East ,28,570,20.4,2023-2024
347,Portland St. ,Big Sky ,31,625,20.2,2023-2024
348,Massachusetts ,Atlantic 10 ,32,645,20.2,2023-2024
349,Niagara ,MAAC ,35,701,20,2023-2024
