Rank BPG,Team,Conference,Games,Wins,Losses,Blocks,BlocksPerGame,Season
292,Iona ,MAAC ,30,11,19,65,2.2,2023-2024
292,Saint Peter's ,MAAC ,30,7,23,65,2.2,2023-2024
294,UTEP ,CUSA ,31,12,19,67,2.2,2023-2024
294,Furman ,SoCon ,31,15,16,67,2.2,2023-2024
296,Col. of Charleston ,CAA ,32,22,10,69,2.2,2023-2024
296,Milwaukee ,Horizon ,32,16,16,69,2.2,2023-2024
296,South Alabama ,Sun Belt ,32,9,23,69,2.2,2023-2024
299,La Salle ,Atlantic 10 ,30,8,22,64,2.1,2023-2024
300,Saint Mary's CA,WCC,31,13,18,66,2.1,2023-2024
301,Wake Forest ,ACC ,32,7,25,68,2.1,2023-2024
302,Green Bay ,Horizon ,34,27,7,72,2.1,2023-2024
303,UC Santa Barbara ,Big West ,31,16,15,65,2.1,2023-2024
304,Oral Roberts ,Summit League ,32,21,11,67,2.1,2023-2024
305,Maine ,America East ,34,24,10,71,2.1,2023-2024
305,Eastern Ky. ,ASUN ,34,22,12,71,2.1,2023-2024
307,Saint Louis ,Atlantic 10 ,40,22,18,83,2.1,2023-2024
308,Jacksonville ,ASUN ,31,11,20,64,2.1,2023-2024
309,Nebraska ,Big Ten ,35,23,12,72,2.1,2023-2024
310,UNC Asheville ,Big South ,31,11,20,63,2,2023-2024
310,McNeese ,Southland ,31,6,25,63,2,2023-2024
312,Buffalo ,MAC ,33,19,14,67,2,2023-2024
313,UIC ,MVC ,34,18,16,69,2,2023-2024
314,USC Upstate ,Big South ,32,16,16,64,2,2023-2024
314,Chattanooga ,SoCon ,33,28,5,66,2,2023-2024
316,FDU ,NEC ,31,14,17,61,2,2023-2024
316,Lamar University ,Southland ,31,24,7,61,2,2023-2024
318,Gardner-Webb ,Big South ,30,6,24,59,2,2023-2024
318,Missouri ,SEC ,30,11,19,59,2,2023-2024
320,UMBC ,America East ,29,10,19,57,2,2023-2024
321,Portland St. ,Big Sky ,31,8,23,60,1.9,2023-2024
322,Longwood ,Big South ,30,9,21,58,1.9,2023-2024
323,Minnesota ,Big Ten ,36,20,16,69,1.9,2023-2024
324,Niagara ,MAAC ,35,21,14,67,1.9,2023-2024
325,Bradley ,MVC ,32,6,26,60,1.9,2023-2024
326,Northern Ky. ,Horizon ,31,11,20,58,1.9,2023-2024
327,UC Riverside ,Big West ,32,18,14,59,1.8,2023-2024
328,Canisius ,MAAC ,31,17,14,57,1.8,2023-2024
329,Nicholls ,Southland ,32,14,18,58,1.8,2023-2024
330,Abilene Christian ,WAC ,30,14,16,54,1.8,2023-2024
331,Georgia Tech ,ACC ,33,17,16,59,1.8,2023-2024
332,North Florida ,ASUN ,30,9,21,52,1.7,2023-2024
333,Massachusetts ,Atlantic 10 ,32,5,27,55,1.7,2023-2024
334,Louisville ,ACC ,34,24,10,58,1.7,2023-2024
335,Xavier ,Big East ,28,1,27,47,1.7,2023-2024
336,Clemson ,ACC ,31,12,19,52,1.7,2023-2024
337,NIU ,MAC ,31,15,16,51,1.6,2023-2024
338,St. Bonaventure ,Atlantic 10 ,30,4,26,49,1.6,2023-2024
339,California Baptist ,WAC ,32,28,4,51,1.6,2023-2024
340,Ohio ,MAC ,30,11,19,47,1.6,2023-2024
340,American ,Patriot ,30,10,20,47,1.6,2023-2024
342,Louisiana ,Sun Belt ,31,17,14,48,1.5,2023-2024
343,Presbyterian ,Big South ,36,21,15,55,1.5,2023-2024
344,Western Mich. ,MAC ,30,12,18,45,1.5,2023-2024
344,Saint Francis PA,NEC ,30,5,25,45,1.5,2023-2024
346,Cornell ,Ivy League ,26,7,19,38,1.5,2023-2024
347,Loyola Maryland ,Patriot ,31,16,15,42,1.4,2023-2024
348,Omaha ,Summit League ,31,8,23,41,1.3,2023-2024
349,New Mexico St. ,CUSA ,31,13,18,38,1.2,2023-2024
