Rank ATR,Team,Conference,Games,wins,losses,Assist,Turnover,Ratio,Season
121,Stony Brook ,CAA ,33,28,5,482,529,0.91,2023-2024
122,Denver ,Summit League ,30,8,22,378,415,0.91,2023-2024
123,Mercer ,SoCon ,32,15,17,416,459,0.91,2023-2024
124,Boston U. ,Patriot ,32,20,12,463,511,0.91,2023-2024
125,Southeastern La. ,Southland ,31,19,12,375,414,0.91,2023-2024
126,A&M-Corpus Christi ,Southland ,32,23,9,473,523,0.9,2023-2024
127,Sacred Heart ,NEC ,34,24,10,402,445,0.9,2023-2024
128,Saint Louis ,Atlantic 10 ,40,22,18,585,648,0.9,2023-2024
129,Missouri ,SEC ,30,11,19,437,486,0.9,2023-2024
130,BYU ,Big 12 ,33,16,17,504,561,0.9,2023-2024
131,Youngstown St. ,Horizon ,32,14,18,476,530,0.9,2023-2024
132,Tulsa ,AAC ,35,25,10,495,553,0.9,2023-2024
133,Loyola Chicago ,Atlantic 10 ,31,15,16,451,505,0.89,2023-2024
134,UNC Greensboro ,SoCon ,33,21,12,387,434,0.89,2023-2024
135,Utah Valley ,WAC ,29,10,19,435,488,0.89,2023-2024
136,Oregon ,Pac-12 ,32,11,21,399,448,0.89,2023-2024
137,Western Ill. ,OVC ,30,18,12,425,478,0.89,2023-2024
138,Liberty ,CUSA ,34,18,16,486,547,0.89,2023-2024
139,Penn ,Ivy League ,28,15,13,374,421,0.89,2023-2024
140,Manhattan ,MAAC ,30,18,12,429,483,0.89,2023-2024
141,Abilene Christian ,WAC ,30,14,16,427,482,0.89,2023-2024
142,Rice ,AAC ,34,19,15,457,518,0.88,2023-2024
143,Nicholls ,Southland ,32,14,18,411,467,0.88,2023-2024
144,Duquesne ,Atlantic 10 ,34,21,13,449,513,0.88,2023-2024
145,Georgia St. ,Sun Belt ,30,15,15,408,467,0.87,2023-2024
146,UC Davis ,Big West ,34,20,14,486,557,0.87,2023-2024
147,St. John's NY,Big East ,33,18,15,384,441,0.87,2023-2024
148,UAlbany ,America East ,32,25,7,428,495,0.86,2023-2024
149,Alabama ,SEC ,34,24,10,441,512,0.86,2023-2024
150,NIU ,MAC ,31,15,16,416,483,0.86,2023-2024
151,Loyola Maryland ,Patriot ,31,16,15,371,431,0.86,2023-2024
152,Louisiana Tech ,CUSA ,33,14,19,441,513,0.86,2023-2024
153,North Dakota St. ,Summit League ,34,22,12,451,525,0.86,2023-2024
154,American ,Patriot ,30,10,20,426,496,0.86,2023-2024
155,San Diego ,WCC ,31,9,22,455,530,0.86,2023-2024
156,Louisville ,ACC ,34,24,10,453,528,0.86,2023-2024
157,Syracuse ,ACC ,32,24,8,403,470,0.86,2023-2024
158,Saint Mary's CA,WCC,31,13,18,421,491,0.86,2023-2024
159,UIC ,MVC ,34,18,16,502,586,0.86,2023-2024
160,Western Ky. ,CUSA ,32,15,17,404,474,0.85,2023-2024
161,Arkansas ,SEC ,33,18,15,356,418,0.85,2023-2024
162,Navy ,Patriot ,31,14,17,382,449,0.85,2023-2024
163,UC Santa Barbara ,Big West ,31,16,15,420,494,0.85,2023-2024
164,Duke ,ACC ,34,22,12,493,581,0.85,2023-2024
165,William & Mary ,CAA ,29,15,14,409,483,0.85,2023-2024
166,Wake Forest ,ACC ,32,7,25,403,476,0.85,2023-2024
167,Fresno St. ,Mountain West ,33,15,18,374,442,0.85,2023-2024
168,Clemson ,ACC ,31,12,19,442,525,0.84,2023-2024
169,North Texas ,AAC ,32,23,9,456,542,0.84,2023-2024
170,Southern Ill. ,MVC ,31,11,20,423,503,0.84,2023-2024
171,Air Force ,Mountain West ,32,15,17,396,473,0.84,2023-2024
172,Bryant ,America East ,30,15,15,400,480,0.83,2023-2024
173,Towson ,CAA ,31,20,11,359,431,0.83,2023-2024
174,Yale ,Ivy League ,27,8,19,334,401,0.83,2023-2024
175,Bethune-Cookman ,SWAC ,31,15,16,417,501,0.83,2023-2024
176,New Mexico ,Mountain West ,32,21,11,376,455,0.83,2023-2024
177,Georgia ,SEC ,30,12,18,401,486,0.83,2023-2024
178,UIW ,Southland ,30,19,11,355,432,0.82,2023-2024
179,Davidson ,Atlantic 10 ,26,18,8,298,363,0.82,2023-2024
180,Auburn ,SEC ,32,20,12,408,497,0.82,2023-2024
