Rank TOPG,Team,Conference,Games,Wins,Losses,Turnovers,Turnovers Per Game,Season
119,DePaul ,Big East ,32,12,20,473,14.8,2023-2024
121,Oakland ,Horizon ,29,12,17,429,14.8,2023-2024
122,Western Ky. ,CUSA ,32,15,17,474,14.8,2023-2024
123,UT Arlington ,WAC ,33,17,16,489,14.8,2023-2024
124,Yale ,Ivy League ,27,8,19,401,14.9,2023-2024
125,Wake Forest ,ACC ,32,7,25,476,14.9,2023-2024
126,California ,Pac-12 ,34,19,15,506,14.9,2023-2024
127,West Virginia ,Big 12 ,33,25,8,493,14.9,2023-2024
128,Tennessee ,SEC ,33,20,13,494,15,2023-2024
129,Arizona ,Pac-12 ,34,18,16,510,15,2023-2024
129,Michigan ,Big Ten ,34,20,14,510,15,2023-2024
129,Florida ,SEC ,32,16,16,480,15,2023-2024
132,Columbia ,Ivy League ,30,23,7,451,15,2023-2024
132,Idaho St. ,Big Sky ,30,11,19,451,15,2023-2024
134,Penn ,Ivy League ,28,15,13,421,15,2023-2024
135,Alabama ,SEC ,34,24,10,512,15.1,2023-2024
135,UCLA ,Pac-12 ,34,27,7,512,15.1,2023-2024
137,Omaha ,Summit League ,31,8,23,467,15.1,2023-2024
138,UTRGV ,WAC ,29,6,23,437,15.1,2023-2024
139,Boise St. ,Mountain West ,35,21,14,528,15.1,2023-2024
140,Duquesne ,Atlantic 10 ,34,21,13,513,15.1,2023-2024
141,Jackson St. ,SWAC ,33,26,7,498,15.1,2023-2024
142,Southern Utah ,WAC ,30,8,22,454,15.1,2023-2024
143,Maryland ,Big Ten ,33,19,14,500,15.2,2023-2024
144,High Point ,Big South ,32,20,12,486,15.2,2023-2024
145,Bowling Green ,MAC ,31,16,15,471,15.2,2023-2024
146,Eastern Ky. ,ASUN ,34,22,12,517,15.2,2023-2024
147,Central Ark. ,ASUN ,33,21,12,502,15.2,2023-2024
148,Rice ,AAC ,34,19,15,518,15.2,2023-2024
149,Grand Canyon ,WAC ,32,24,8,488,15.3,2023-2024
150,Bucknell ,Patriot ,31,13,18,473,15.3,2023-2024
151,Murray St. ,MVC ,32,20,12,489,15.3,2023-2024
152,LSU ,SEC ,37,31,6,566,15.3,2023-2024
153,Georgetown ,Big East ,35,23,12,536,15.3,2023-2024
154,FDU ,NEC ,31,14,17,475,15.3,2023-2024
155,Brown ,Ivy League ,27,16,11,414,15.3,2023-2024
156,South Dakota ,Summit League ,36,23,13,554,15.4,2023-2024
157,Houston ,Big 12 ,30,14,16,463,15.4,2023-2024
157,Lafayette ,Patriot ,30,10,20,463,15.4,2023-2024
159,North Dakota St. ,Summit League ,34,22,12,525,15.4,2023-2024
160,UAlbany ,America East ,32,25,7,495,15.5,2023-2024
160,VCU ,Atlantic 10 ,32,26,6,495,15.5,2023-2024
162,Mount St. Mary's ,MAAC ,31,14,17,480,15.5,2023-2024
163,SFA ,WAC ,34,22,12,527,15.5,2023-2024
163,San Francisco ,WCC ,30,14,16,465,15.5,2023-2024
165,Louisville ,ACC ,34,24,10,528,15.5,2023-2024
166,Auburn ,SEC ,32,20,12,497,15.5,2023-2024
167,Louisiana Tech ,CUSA ,33,14,19,513,15.5,2023-2024
168,Georgia St. ,Sun Belt ,30,15,15,467,15.6,2023-2024
169,NIU ,MAC ,31,15,16,483,15.6,2023-2024
170,Northern Ky. ,Horizon ,31,11,20,485,15.6,2023-2024
171,Boston College ,ACC ,33,14,19,517,15.7,2023-2024
171,Ole Miss ,SEC ,33,24,9,517,15.7,2023-2024
173,Portland St. ,Big Sky ,31,8,23,486,15.7,2023-2024
174,Montana St. ,Big Sky ,33,17,16,518,15.7,2023-2024
175,Baylor ,Big 12 ,34,26,8,534,15.7,2023-2024
176,UNC Asheville ,Big South ,31,11,20,487,15.7,2023-2024
177,Tennessee Tech ,OVC ,31,16,15,489,15.8,2023-2024
178,Weber St. ,Big Sky ,33,8,25,521,15.8,2023-2024
179,Jacksonville St. ,CUSA ,29,12,17,458,15.8,2023-2024
180,Tulsa ,AAC ,35,25,10,553,15.8,2023-2024
181,LMU CA,WCC ,30,11,19,475,15.8,2023-2024
182,Saint Mary's CA,WCC ,31,13,18,491,15.8,2023-2024
183,Dartmouth ,Ivy League ,26,7,19,414,15.9,2023-2024
184,Western Ill. ,OVC ,30,18,12,478,15.9,2023-2024
185,UC Santa Barbara ,Big West ,31,16,15,494,15.9,2023-2024
186,Western Mich. ,MAC ,30,12,18,479,16,2023-2024
187,Boston U. ,Patriot ,32,20,12,511,16,2023-2024
188,Bryant ,America East ,30,15,15,480,16,2023-2024
189,Stony Brook ,CAA ,33,28,5,529,16,2023-2024
190,Kansas City ,Summit League ,32,12,20,513,16,2023-2024
191,Abilene Christian ,WAC ,30,14,16,482,16.1,2023-2024
192,Liberty ,CUSA ,34,18,16,547,16.1,2023-2024
193,Miami FL,ACC ,31,19,12,499,16.1,2023-2024
194,Lehigh ,Patriot ,30,17,13,483,16.1,2023-2024
194,Manhattan ,MAAC ,30,18,12,483,16.1,2023-2024
196,Oklahoma ,Big 12 ,33,23,10,532,16.1,2023-2024
197,Stetson ,ASUN ,32,17,15,517,16.2,2023-2024
198,Bethune-Cookman ,SWAC ,31,15,16,501,16.2,2023-2024
199,Saint Louis ,Atlantic 10 ,40,22,18,648,16.2,2023-2024
199,Georgia ,SEC ,30,12,18,486,16.2,2023-2024
199,Missouri ,SEC ,30,11,19,486,16.2,2023-2024
202,Southern Ill. ,MVC ,31,11,20,503,16.2,2023-2024
203,Cornell ,Ivy League ,26,7,19,422,16.2,2023-2024
204,Memphis ,AAC ,30,13,17,487,16.2,2023-2024
205,UMass Lowell ,America East ,29,4,25,471,16.2,2023-2024
206,Bradley ,MVC ,32,6,26,520,16.3,2023-2024
206,Cincinnati ,Big 12 ,32,14,18,520,16.3,2023-2024
208,UTEP ,CUSA ,31,12,19,504,16.3,2023-2024
209,Marshall ,Sun Belt ,33,26,7,537,16.3,2023-2024
210,Akron ,MAC ,29,11,18,472,16.3,2023-2024
211,Loyola Chicago ,Atlantic 10 ,31,15,16,505,16.3,2023-2024
212,Fordham ,Atlantic 10 ,29,12,17,473,16.3,2023-2024
213,Northwestern ,Big Ten ,30,9,21,490,16.3,2023-2024
213,Robert Morris ,Horizon ,30,6,24,490,16.3,2023-2024
215,A&M-Corpus Christi ,Southland ,32,23,9,523,16.3,2023-2024
216,George Washington ,Atlantic 10 ,31,13,18,507,16.4,2023-2024
217,UC Davis ,Big West ,34,20,14,557,16.4,2023-2024
218,Ark.-Pine Bluff ,SWAC ,33,17,16,541,16.4,2023-2024
218,Iowa St. ,Big 12 ,33,21,12,541,16.4,2023-2024
220,Coppin St. ,MEAC ,30,12,18,492,16.4,2023-2024
220,St. Bonaventure ,Atlantic 10 ,30,4,26,492,16.4,2023-2024
222,Southern U. ,SWAC ,30,15,15,493,16.4,2023-2024
223,Howard ,MEAC ,31,15,16,510,16.5,2023-2024
223,Quinnipiac ,MAAC ,31,13,18,510,16.5,2023-2024
225,La Salle ,Atlantic 10 ,30,8,22,494,16.5,2023-2024
226,Texas Tech ,Big 12 ,33,17,16,544,16.5,2023-2024
227,Iona ,MAAC ,30,11,19,495,16.5,2023-2024
228,Kentucky ,SEC ,32,12,20,529,16.5,2023-2024
229,American ,Patriot ,30,10,20,496,16.5,2023-2024
230,Wichita St. ,AAC ,32,10,22,530,16.6,2023-2024
230,Youngstown St. ,Horizon ,32,14,18,530,16.6,2023-2024
232,Southern Miss. ,Sun Belt ,34,20,14,565,16.6,2023-2024
233,New Hampshire ,America East ,29,9,20,483,16.7,2023-2024
233,Southeast Mo. St. ,OVC ,29,9,20,483,16.7,2023-2024
233,UMBC ,America East ,29,10,19,483,16.7,2023-2024
233,William & Mary ,CAA ,29,15,14,483,16.7,2023-2024
237,Milwaukee ,Horizon ,32,16,16,533,16.7,2023-2024
238,Canisius ,MAAC ,31,17,14,517,16.7,2023-2024
239,Furman ,SoCon ,31,15,16,518,16.7,2023-2024
240,Penn St. ,Big Ten ,35,22,13,585,16.7,2023-2024
241,UT Martin ,OVC ,33,16,17,552,16.7,2023-2024
242,Saint Francis PA,NEC ,30,5,25,502,16.7,2023-2024
243,Old Dominion ,Sun Belt ,32,22,10,536,16.8,2023-2024
244,Campbell ,CAA ,31,17,14,520,16.8,2023-2024
245,Tulane ,AAC ,32,12,20,537,16.8,2023-2024
246,Cal St. Fullerton ,Big West ,31,10,21,521,16.8,2023-2024
247,Utah Valley ,WAC ,29,10,19,488,16.8,2023-2024
248,North Florida ,ASUN ,30,9,21,505,16.8,2023-2024
249,N.C. A&T ,CAA ,34,22,12,573,16.9,2023-2024
250,UMES ,MEAC ,30,15,15,506,16.9,2023-2024
251,Massachusetts ,Atlantic 10 ,32,5,27,540,16.9,2023-2024
252,James Madison ,Sun Belt ,35,23,12,592,16.9,2023-2024
253,Clemson ,ACC ,31,12,19,525,16.9,2023-2024
254,North Texas ,AAC ,32,23,9,542,16.9,2023-2024
255,Elon ,CAA ,32,11,21,543,17,2023-2024
256,Fairfield ,MAAC ,33,31,2,560,17,2023-2024
257,BYU ,Big 12 ,33,16,17,561,17,2023-2024
