Rank ScrOf,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Season
219,Evansville ,MVC ,32,4,28,"2,011",62.8,2023-2024
220,Loyola Chicago ,Atlantic 10 ,31,15,16,"1,947",62.8,2023-2024
220,San Diego ,WCC ,31,9,22,"1,947",62.8,2023-2024
222,Wisconsin ,Big Ten ,32,15,17,"2,007",62.7,2023-2024
223,High Point ,Big South ,32,20,12,"2,006",62.7,2023-2024
224,Boston U. ,Patriot ,32,20,12,"2,004",62.6,2023-2024
225,Butler ,Big East ,32,15,17,"2,001",62.5,2023-2024
226,UIW ,Southland ,30,19,11,"1,874",62.5,2023-2024
227,Fordham ,Atlantic 10 ,29,12,17,"1,811",62.4,2023-2024
228,Cincinnati ,Big 12 ,32,14,18,"1,997",62.4,2023-2024
229,Louisiana Tech ,CUSA ,33,14,19,"2,058",62.4,2023-2024
230,Akron ,MAC ,29,11,18,"1,807",62.3,2023-2024
231,Gardner-Webb ,Big South ,30,6,24,"1,868",62.3,2023-2024
232,UMES ,MEAC ,30,15,15,"1,867",62.2,2023-2024
233,Austin Peay ,ASUN ,33,17,16,"2,053",62.2,2023-2024
234,Western Mich. ,MAC ,30,12,18,"1,866",62.2,2023-2024
235,New Orleans ,Southland ,30,11,19,"1,865",62.2,2023-2024
236,Southeast Mo. St. ,OVC ,29,9,20,"1,800",62.1,2023-2024
237,Tennessee St. ,OVC ,30,11,19,"1,862",62.1,2023-2024
238,UC Davis ,Big West ,34,20,14,"2,106",61.9,2023-2024
239,Binghamton ,America East ,31,14,17,"1,920",61.9,2023-2024
240,Navy ,Patriot ,31,14,17,"1,917",61.8,2023-2024
241,Colgate ,Patriot ,34,20,14,"2,102",61.8,2023-2024
242,Valparaiso ,MVC ,30,5,25,"1,853",61.8,2023-2024
243,Alabama A&M ,SWAC ,31,15,16,"1,914",61.7,2023-2024
244,Central Mich. ,MAC ,28,6,22,"1,722",61.5,2023-2024
245,Arizona St. ,Pac-12 ,31,11,20,"1,905",61.5,2023-2024
246,Charleston So. ,Big South ,30,11,19,"1,831",61,2023-2024
246,Fla. Atlantic ,AAC ,30,11,19,"1,831",61,2023-2024
248,Saint Mary's CA,WCC ,31,13,18,"1,892",61,2023-2024
249,Longwood ,Big South ,30,9,21,"1,830",61,2023-2024
250,UAlbany ,America East ,32,25,7,"1,949",60.9,2023-2024
251,Pittsburgh ,ACC ,32,8,24,"1,945",60.8,2023-2024
252,Campbell ,CAA ,31,17,14,"1,884",60.8,2023-2024
253,American ,Patriot ,30,10,20,"1,823",60.8,2023-2024
254,South Alabama ,Sun Belt ,32,9,23,"1,942",60.7,2023-2024
255,Yale ,Ivy League ,27,8,19,"1,638",60.7,2023-2024
256,Canisius ,MAAC ,31,17,14,"1,880",60.6,2023-2024
257,Southern U. ,SWAC ,30,15,15,"1,819",60.6,2023-2024
258,Cal Poly ,Big West ,31,17,14,"1,878",60.6,2023-2024
259,Bryant ,America East ,30,15,15,"1,817",60.6,2023-2024
260,Youngstown St. ,Horizon ,32,14,18,"1,938",60.6,2023-2024
261,New Mexico St. ,CUSA ,31,13,18,"1,874",60.5,2023-2024
262,St. John's NY,Big East ,33,18,15,"1,993",60.4,2023-2024
263,LMU CA,WCC ,30,11,19,"1,811",60.4,2023-2024
264,San Jose St. ,Mountain West ,31,7,24,"1,870",60.3,2023-2024
265,Detroit Mercy ,Horizon ,33,17,16,"1,988",60.2,2023-2024
266,Bradley ,MVC ,32,6,26,"1,925",60.2,2023-2024
267,Florida A&M ,SWAC ,30,9,21,"1,795",59.8,2023-2024
268,Utah Valley ,WAC ,29,10,19,"1,735",59.8,2023-2024
269,Oregon ,Pac-12 ,32,11,21,"1,914",59.8,2023-2024
270,Idaho ,Big Sky ,31,15,16,"1,853",59.8,2023-2024
271,UTRGV ,WAC ,29,6,23,"1,727",59.6,2023-2024
272,Hawaii ,Big West ,31,20,11,"1,846",59.5,2023-2024
273,UNC Asheville ,Big South ,31,11,20,"1,845",59.5,2023-2024
274,Wake Forest ,ACC ,32,7,25,"1,904",59.5,2023-2024
275,Idaho St. ,Big Sky ,30,11,19,"1,784",59.5,2023-2024
276,ETSU ,SoCon ,30,18,12,"1,783",59.4,2023-2024
277,Vermont ,America East ,37,25,12,"2,199",59.4,2023-2024
278,Texas Southern ,SWAC ,29,7,22,"1,721",59.3,2023-2024
279,Quinnipiac ,MAAC ,31,13,18,"1,839",59.3,2023-2024
280,Merrimack ,NEC ,31,12,19,"1,837",59.3,2023-2024
281,Army West Point ,Patriot ,29,12,17,"1,717",59.2,2023-2024
282,Jacksonville St. ,CUSA ,29,12,17,"1,712",59,2023-2024
283,Loyola Maryland ,Patriot ,31,16,15,"1,830",59,2023-2024
284,Cal St. Fullerton ,Big West ,31,10,21,"1,828",59,2023-2024
285,Chicago St. ,DI Independent ,27,1,26,"1,592",59,2023-2024
286,Howard ,MEAC ,31,15,16,"1,827",58.9,2023-2024
287,Kennesaw St. ,ASUN ,30,11,19,"1,766",58.9,2023-2024
288,USC Upstate ,Big South ,32,16,16,"1,883",58.8,2023-2024
289,Montana St. ,Big Sky ,33,17,16,"1,938",58.7,2023-2024
290,CSU Bakersfield ,Big West ,29,8,21,"1,703",58.7,2023-2024
291,George Washington ,Atlantic 10 ,31,13,18,"1,812",58.5,2023-2024
292,Northwestern St. ,Southland ,30,11,19,"1,753",58.4,2023-2024
293,FDU ,NEC ,31,14,17,"1,811",58.4,2023-2024
294,UMBC ,America East ,29,10,19,"1,693",58.4,2023-2024
295,UC Riverside ,Big West ,32,18,14,"1,868",58.4,2023-2024
296,Louisiana ,Sun Belt ,31,17,14,"1,809",58.4,2023-2024
297,LIU ,NEC ,30,8,22,"1,747",58.2,2023-2024
298,Samford ,SoCon ,30,14,16,"1,742",58.1,2023-2024
299,Massachusetts ,Atlantic 10 ,32,5,27,"1,857",58,2023-2024
300,Providence ,Big East ,34,13,21,"1,971",58,2023-2024
301,Central Conn. St. ,NEC ,30,9,21,"1,736",57.9,2023-2024
302,Georgetown ,Big East ,35,23,12,"2,025",57.9,2023-2024
303,Stetson ,ASUN ,32,17,15,"1,849",57.8,2023-2024
304,Iona ,MAAC ,30,11,19,"1,729",57.6,2023-2024
304,La Salle ,Atlantic 10 ,30,8,22,"1,729",57.6,2023-2024
306,Presbyterian ,Big South ,36,21,15,"2,072",57.6,2023-2024
307,Delaware St. ,MEAC ,28,8,20,"1,611",57.5,2023-2024
308,Radford ,Big South ,33,15,18,"1,897",57.5,2023-2024
309,Northeastern ,CAA ,27,10,17,"1,552",57.5,2023-2024
310,NJIT ,America East ,30,12,18,"1,723",57.4,2023-2024
311,Eastern Mich. ,MAC ,29,7,22,"1,661",57.3,2023-2024
312,Manhattan ,MAAC ,30,18,12,"1,717",57.2,2023-2024
313,Drexel ,CAA ,34,19,15,"1,945",57.2,2023-2024
314,Weber St. ,Big Sky ,33,8,25,"1,882",57,2023-2024
315,Western Caro. ,SoCon ,30,6,24,"1,705",56.8,2023-2024
316,Winthrop ,Big South ,30,14,16,"1,703",56.8,2023-2024
317,Sacramento St. ,Big Sky ,31,6,25,"1,758",56.7,2023-2024
318,Hofstra ,CAA ,32,11,21,"1,811",56.6,2023-2024
319,Portland St. ,Big Sky ,31,8,23,"1,746",56.3,2023-2024
320,Utah St. ,Mountain West ,30,5,25,"1,686",56.2,2023-2024
321,Cornell ,Ivy League ,26,7,19,"1,455",56,2023-2024
322,Bucknell ,Patriot ,31,13,18,"1,734",55.9,2023-2024
323,Lafayette ,Patriot ,30,10,20,"1,676",55.9,2023-2024
324,Little Rock ,OVC ,30,12,18,"1,669",55.6,2023-2024
325,Marist ,MAAC ,31,6,25,"1,720",55.5,2023-2024
325,Mississippi Val. ,SWAC ,31,4,27,"1,720",55.5,2023-2024
327,Robert Morris ,Horizon ,30,6,24,"1,660",55.3,2023-2024
328,Wagner ,NEC ,28,7,21,"1,548",55.3,2023-2024
329,Coppin St. ,MEAC ,30,12,18,"1,658",55.3,2023-2024
330,CSUN ,Big West ,30,3,27,"1,655",55.2,2023-2024
331,Rider ,MAAC ,31,10,21,"1,703",54.9,2023-2024
332,St. Bonaventure ,Atlantic 10 ,30,4,26,"1,640",54.7,2023-2024
333,Mount St. Mary's ,MAAC ,31,14,17,"1,691",54.5,2023-2024
334,UNCW ,CAA ,30,5,25,"1,635",54.5,2023-2024
335,Hampton ,CAA ,29,3,26,"1,580",54.5,2023-2024
336,Pepperdine ,WCC ,30,5,25,"1,627",54.2,2023-2024
337,New Hampshire ,America East ,29,9,20,"1,569",54.1,2023-2024
338,Alcorn ,SWAC ,32,12,20,"1,731",54.1,2023-2024
339,Miami OH,MAC ,29,9,20,"1,564",53.9,2023-2024
340,Houston Christian ,Southland ,29,6,23,"1,556",53.7,2023-2024
341,Morgan St. ,MEAC ,30,8,22,"1,608",53.6,2023-2024
342,Elon ,CAA ,32,11,21,"1,698",53.1,2023-2024
343,UMass Lowell ,America East ,29,4,25,"1,505",51.9,2023-2024
344,Saint Francis PA,NEC ,30,5,25,"1,544",51.5,2023-2024
345,Xavier ,Big East ,28,1,27,"1,420",50.7,2023-2024
346,Saint Peter's ,MAAC ,30,7,23,"1,517",50.6,2023-2024
347,Alabama St. ,SWAC ,29,3,26,"1,431",49.3,2023-2024
348,Dartmouth ,Ivy League ,26,7,19,"1,261",48.5,2023-2024
349,South Carolina St. ,MEAC ,30,2,28,"1,450",48.3,2023-2024
