Rank 3ptPG,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goals per Game,Season
321,Ga. Southern ,Sun Belt ,33,15,18,130,3.9,2023-2024
322,Yale ,Ivy League ,27,8,19,106,3.9,2023-2024
323,Texas ,Big 12 ,38,33,5,148,3.9,2023-2024
324,Colgate ,Patriot ,34,20,14,132,3.9,2023-2024
325,Western Caro. ,SoCon ,30,6,24,116,3.9,2023-2024
326,Central Conn. St. ,NEC ,30,9,21,115,3.8,2023-2024
326,Idaho St. ,Big Sky ,30,11,19,115,3.8,2023-2024
328,Auburn ,SEC ,32,20,12,120,3.8,2023-2024
328,Stetson ,ASUN ,32,17,15,120,3.8,2023-2024
330,UMass Lowell ,America East ,29,4,25,108,3.7,2023-2024
331,Longwood ,Big South ,30,9,21,111,3.7,2023-2024
332,Morgan St. ,MEAC ,30,8,22,110,3.7,2023-2024
332,Pepperdine ,WCC ,30,5,25,110,3.7,2023-2024
334,Bethune-Cookman ,SWAC ,31,15,16,113,3.6,2023-2024
335,Kansas City ,Summit League ,32,12,20,116,3.6,2023-2024
336,Georgia ,SEC ,30,12,18,105,3.5,2023-2024
337,Southeastern La. ,Southland ,31,19,12,108,3.5,2023-2024
338,UNCW ,CAA ,30,5,25,103,3.4,2023-2024
339,Alcorn ,SWAC ,32,12,20,107,3.3,2023-2024
340,San Diego ,WCC ,31,9,22,103,3.3,2023-2024
341,Kennesaw St. ,ASUN ,30,11,19,97,3.2,2023-2024
342,Tennessee St. ,OVC ,30,11,19,96,3.2,2023-2024
343,Little Rock ,OVC ,30,12,18,94,3.1,2023-2024
344,Ole Miss ,SEC ,33,24,9,101,3.1,2023-2024
345,Hampton ,CAA ,29,3,26,85,2.9,2023-2024
346,South Carolina St. ,MEAC ,30,2,28,85,2.8,2023-2024
347,Prairie View ,SWAC ,29,11,18,82,2.8,2023-2024
348,Cornell ,Ivy League ,26,7,19,70,2.7,2023-2024
349,Chicago St. ,DI Independent ,27,1,26,68,2.5,2023-2024
