Rank APG,Team,Conference,Games,Wins,losses,Assist,AssistPerGame,Season
116,Wisconsin ,Big Ten ,32,15,17,450,14.1,2023-2024
118,Eastern Ky. ,ASUN ,34,22,12,476,14,2023-2024
119,Eastern Ill. ,OVC ,33,15,18,461,14,2023-2024
120,Oklahoma St. ,Big 12 ,30,14,16,419,14,2023-2024
121,California ,Pac-12 ,34,19,15,473,13.9,2023-2024
122,Temple ,AAC ,32,20,12,445,13.9,2023-2024
122,UAB ,AAC ,32,18,14,445,13.9,2023-2024
124,Michigan ,Big Ten ,34,20,14,471,13.9,2023-2024
125,Niagara ,MAAC ,35,21,14,483,13.8,2023-2024
126,Princeton ,Ivy League ,30,25,5,413,13.8,2023-2024
127,Grambling ,SWAC ,33,23,10,451,13.7,2023-2024
128,Eastern Wash. ,Big Sky ,35,29,6,478,13.7,2023-2024
129,Southern Ill. ,MVC ,31,11,20,423,13.6,2023-2024
130,Wright St. ,Horizon ,33,18,15,450,13.6,2023-2024
131,Northern Colo. ,Big Sky ,31,15,16,422,13.6,2023-2024
132,Georgia St. ,Sun Belt ,30,15,15,408,13.6,2023-2024
133,Saint Mary's ,CA  ,31,13,18,421,13.6,2023-2024
134,UC Santa Barbara ,Big West ,31,16,15,420,13.5,2023-2024
135,UTSA ,AAC ,33,18,15,446,13.5,2023-2024
136,Bethune-Cookman ,SWAC ,31,15,16,417,13.5,2023-2024
137,Rice ,AAC ,34,19,15,457,13.4,2023-2024
138,UNI ,MVC ,32,16,16,430,13.4,2023-2024
139,Cleveland St. ,Horizon ,35,29,6,470,13.4,2023-2024
140,Binghamton ,America East ,31,14,17,416,13.4,2023-2024
140,NIU ,MAC ,31,15,16,416,13.4,2023-2024
142,UAlbany ,America East ,32,25,7,428,13.4,2023-2024
143,NC State ,ACC ,38,31,7,508,13.4,2023-2024
144,Georgia ,SEC ,30,12,18,401,13.4,2023-2024
145,Louisiana Tech ,CUSA ,33,14,19,441,13.4,2023-2024
146,Penn ,Ivy League ,28,15,13,374,13.4,2023-2024
147,Bryant ,America East ,30,15,15,400,13.3,2023-2024
147,Siena ,MAAC ,30,18,12,400,13.3,2023-2024
149,Louisville ,ACC ,34,24,10,453,13.3,2023-2024
150,Pittsburgh ,ACC ,32,8,24,425,13.3,2023-2024
151,North Dakota St. ,Summit League ,34,22,12,451,13.3,2023-2024
152,Cal St. Fullerton ,Big West ,31,10,21,411,13.3,2023-2024
152,Campbell ,CAA ,31,17,14,411,13.3,2023-2024
152,San Jose St. ,Mountain West ,31,7,24,411,13.3,2023-2024
155,Morehead St. ,OVC ,30,15,15,397,13.2,2023-2024
156,San Diego St. ,Mountain West ,35,22,13,463,13.2,2023-2024
157,Buffalo ,MAC ,33,19,14,436,13.2,2023-2024
158,Duquesne ,Atlantic 10 ,34,21,13,449,13.2,2023-2024
159,Rhode Island ,Atlantic 10 ,35,21,14,462,13.2,2023-2024
160,Canisius ,MAAC ,31,17,14,408,13.2,2023-2024
161,James Madison ,Sun Belt ,35,23,12,460,13.1,2023-2024
